"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","DBH_cm","CCS_r_m","rem_reason"
"140010",13,-9,0,1067,207,35,1,"gki","1",1,166,81,340,130,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",34,17.84,"LT cirlce excluded during inventory status sorting"
"140010",25,-9,0,670,362,35,1,"gki","1",1,139,36,362,130,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",36.2,17.84,"LT cirlce excluded during inventory status sorting"
"140013",11,-9,0,1255,365,57,1,"gki","1",1,221,122,336,150,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",33.7,17.84,"LT cirlce excluded during inventory status sorting"
"140013",17,-9,0,528,384,57,1,"gki","1",1,-9,-9,311,130,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",31.1,17.84,"LT cirlce excluded during inventory status sorting"
"140030",12,-9,0,1190,24,27,1,"gki","1",1,144,46,304,130,2011,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",30.4,17.84,"LT cirlce excluded during inventory status sorting"
"150004",1,-9,0,1137,4,165,6,"ei","2",1,306,90,708,130,2011,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",70.8,17.84,"LT cirlce excluded during inventory status sorting"
"150004",2,-9,0,1192,10,76,6,"rbu","4",1,237,19,339,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",33.9,17.84,"LT cirlce excluded during inventory status sorting"
"150004",4,-9,0,621,81,165,6,"ei","2",1,310,120,538,130,2011,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",53.8,17.84,"LT cirlce excluded during inventory status sorting"
"150004",5,-9,0,1244,131,165,6,"ei","2",1,272,32,497,130,2011,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",49.7,17.84,"LT cirlce excluded during inventory status sorting"
"150004",7,-9,0,87,190,165,6,"rbu","2",1,311,28,724,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",72.4,17.84,"LT cirlce excluded during inventory status sorting"
"150004",8,-9,0,1170,228,165,6,"rbu","2",1,230,20,454,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",45.4,17.84,"LT cirlce excluded during inventory status sorting"
"150502",1,-9,0,431,225,30,5,"gki","2",1,57,15,105,130,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",10.5,12.62,"LT cirlce excluded during inventory status sorting"
"160035",79,-9,0,821,392,52,1,"sbi","2",1,170,98,325,130,2011,"HBI",36,107,"SBi","Sand-Birke","Betula pendula","Betula","pendula","034.001.001","LB",10,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI",32.5,17.84,"LT cirlce excluded during inventory status sorting"
