"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","DBH_cm","CCS_r_m","rem_reason"
"150022",7,-9,0,2238,184,191,6,"rbu","2",1,310,68,1041,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",104.1,17.84,"single LT excluded during inventory status sorting"
"150054",4,-9,0,1796,125,98,5,"wei","2",1,235,54,985,130,2011,"HBI",15,120,"Wei","Weide","Salix spp.","Salix","spp.","031.001.999.DL","LB",62,30011,"SLB","WAHR","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI",98.5,17.84,"single LT excluded during inventory status sorting"
"150074",7,-9,0,2005,63,147,6,"sei","2",1,246,58,819,130,2012,"HBI",39,117,"SEi","Stiel-Eiche","Quercus robur ","Quercus","robur ","036.004.014","LB",51,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",81.9,17.84,"single LT excluded during inventory status sorting"
"160010",8,-9,0,2097,50,160,5,"rbu","1",1,-9,-9,947,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",94.7,17.84,"single LT excluded during inventory status sorting"
"160032",8,-9,0,2004,338,103,1,"tei","1",1,280,83,809,130,2012,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",80.9,17.84,"single LT excluded during inventory status sorting"
"28120",29,NA,NA,687,NA,NA,NA,"gfi","4",1,NA,NA,90,130,2024,"momok",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",9,12.62,"single LT excluded during inventory status sorting"
"28121",1,NA,NA,566,NA,NA,NA,"gfi","2",1,NA,NA,132,130,NA,NA,83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",13.2,NA,"single LT excluded during inventory status sorting"
"30081",4,-9,0,1865,278,174,1,"rbu","0",3,279,104,761,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",76.1,17.84,"single LT excluded during inventory status sorting"
"30188",29,-9,0,2144,109,180,5,"sei","1",1,237,34,997,130,2011,"HBI",39,117,"SEi","Stiel-Eiche","Quercus robur ","Quercus","robur ","036.004.014","LB",51,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",99.7,17.84,"single LT excluded during inventory status sorting"
"30192",1,-9,0,1811,370,184,1,"rbu","1",1,335,88,812,170,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",81.4,17.84,"single LT excluded during inventory status sorting"
"50006",32,-9,0,2043,252,58,6,"pa","1",1,387,147,919,130,2011,"HBI",11,114,"Pa","Pappel","Populus spp.","Populus","spp.","031.002.999.DL","LB",211,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI",91.9,17.84,"single LT excluded during inventory status sorting"
"50024",9,-9,0,1892,310,157,6,"rbu","2",1,339,136,830,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",83,17.84,"single LT excluded during inventory status sorting"
"50024",10,-9,0,1977,95,157,6,"rbu","2",1,-9,-9,816,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",81.6,17.84,"single LT excluded during inventory status sorting"
"50063",37,-9,0,2649,361,150,5,"rbu","2",1,345,56,1090,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",109,17.84,"single LT excluded during inventory status sorting"
