"plot_ID","team","date","stand_spec","stand_type","structure","hbi_status","inv_year","inv","CCS_r_m","CCS_LT_inv_status"
80087,"Kruse;Harder",2011-06-11,1,1,1,1,2011,"HBI",17.84,1
80088,"Kruse;Harder",2011-06-07,1,3,2,1,2011,"HBI",5.64,1
80088,"Kruse;Harder",2011-06-07,1,3,2,1,2011,"HBI",12.62,1
80088,"Kruse;Harder",2011-06-07,1,3,2,1,2011,"HBI",17.84,1
80089,"Kruse;Harder",2011-05-27,1,6,6,1,2011,"HBI",5.64,1
80089,"Kruse;Harder",2011-05-27,1,6,6,1,2011,"HBI",12.62,1
80089,"Kruse;Harder",2011-05-27,1,6,6,1,2011,"HBI",17.84,1
80090,"Kruse;Harder",2012-03-23,1,1,2,1,2012,"HBI",5.64,1
80090,"Kruse;Harder",2012-03-23,1,1,2,1,2012,"HBI",12.62,1
80090,"Kruse;Harder",2012-03-23,1,1,2,1,2012,"HBI",17.84,1
80091,"Mertz,Schäfer",2011-12-13,1,1,1,1,2011,"HBI",5.64,1
80091,"Mertz,Schäfer",2011-12-13,1,1,1,1,2011,"HBI",12.62,1
80091,"Mertz,Schäfer",2011-12-13,1,1,1,1,2011,"HBI",17.84,1
80092,"Mertz,Schäfer",2011-12-12,1,8,3,1,2011,"HBI",5.64,1
80092,"Mertz,Schäfer",2011-12-12,1,8,3,1,2011,"HBI",12.62,1
80092,"Mertz,Schäfer",2011-12-12,1,8,3,1,2011,"HBI",17.84,1
80093,"Kruse;Harder",2011-08-19,1,3,4,1,2011,"HBI",5.64,1
80093,"Kruse;Harder",2011-08-19,1,3,4,1,2011,"HBI",12.62,1
80093,"Kruse;Harder",2011-08-19,1,3,4,1,2011,"HBI",17.84,1
80094,"Kruse;Harder",2011-06-14,1,8,3,1,2011,"HBI",5.64,1
80094,"Kruse;Harder",2011-06-14,1,8,3,1,2011,"HBI",12.62,1
80094,"Kruse;Harder",2011-06-14,1,8,3,1,2011,"HBI",17.84,1
80095,"Kruse;Harder",2011-09-10,1,4,1,1,2011,"HBI",5.64,1
80095,"Kruse;Harder",2011-09-10,1,4,1,1,2011,"HBI",12.62,1
80095,"Kruse;Harder",2011-09-10,1,4,1,1,2011,"HBI",17.84,1
80096,"Kruse;Harder",2011-12-17,1,3,3,1,2011,"HBI",5.64,1
80096,"Kruse;Harder",2011-12-17,1,3,3,1,2011,"HBI",12.62,1
80096,"Kruse;Harder",2011-12-17,1,3,3,1,2011,"HBI",17.84,1
