"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv"
10026,4,"w",1000,1,440,2012,"HBI"
10027,1,"n",1000,2,500,2012,"HBI"
10027,2,"o",1000,2,500,2012,"HBI"
10027,3,"s",1000,1,398,2012,"HBI"
10027,4,"w",1000,1,429,2012,"HBI"
10028,1,"n",1000,1,438,2012,"HBI"
10028,2,"o",1000,1,458,2012,"HBI"
10028,3,"s",1000,1,393,2012,"HBI"
10028,4,"w",1000,2,500,2012,"HBI"
10029,1,"n",1000,2,500,2012,"HBI"
10029,2,"o",1000,1,436,2012,"HBI"
10029,3,"s",1000,1,258,2012,"HBI"
10029,4,"w",1000,2,500,2012,"HBI"
10030,1,"n",1000,1,494,2012,"HBI"
10030,2,"o",1000,1,428,2012,"HBI"
10030,3,"s",1000,1,400,2012,"HBI"
10030,4,"w",1000,1,443,2012,"HBI"
10031,1,"n",1000,1,145,2012,"HBI"
10031,2,"o",1000,1,190,2012,"HBI"
10031,3,"s",1000,1,110,2012,"HBI"
10031,4,"w",1000,1,74,2012,"HBI"
10032,1,"n",1000,1,438,2012,"HBI"
10032,2,"o",1000,1,75,2012,"HBI"
10032,3,"s",1000,1,497,2012,"HBI"
10032,4,"w",1000,1,241,2012,"HBI"
10033,1,"n",1000,1,402,2012,"HBI"
10033,2,"o",1000,1,142,2012,"HBI"
10033,3,"s",1000,1,422,2012,"HBI"
10033,4,"w",1000,1,389,2012,"HBI"
10034,1,"n",1000,2,500,2012,"HBI"
10034,2,"o",1000,1,426,2012,"HBI"
10034,3,"s",1000,1,451,2012,"HBI"
10034,4,"w",1000,2,500,2012,"HBI"
10035,1,"n",1000,2,500,2012,"HBI"
10035,2,"o",1000,1,481,2012,"HBI"
10035,3,"s",1000,1,463,2012,"HBI"
10035,4,"w",1000,1,382,2012,"HBI"
10036,1,"n",1000,1,378,2012,"HBI"
10036,2,"o",1000,1,362,2012,"HBI"
10036,3,"s",1000,1,372,2012,"HBI"
10036,4,"w",1000,1,454,2012,"HBI"
10037,1,"n",1000,2,500,2012,"HBI"
10037,2,"o",1000,1,400,2012,"HBI"
10037,3,"s",1000,1,413,2012,"HBI"
10037,4,"w",1000,1,491,2012,"HBI"
10038,1,"n",1000,1,493,2012,"HBI"
10038,2,"o",1000,1,492,2012,"HBI"
10038,3,"s",1000,1,498,2012,"HBI"
10038,4,"w",1000,1,368,2012,"HBI"
10039,1,"n",1000,1,498,2012,"HBI"
10039,2,"o",1000,1,294,2012,"HBI"
10039,3,"s",1000,1,404,2012,"HBI"
10039,4,"w",1000,2,500,2012,"HBI"
10040,1,"n",1000,1,242,2012,"HBI"
10040,2,"o",1000,1,176,2012,"HBI"
10040,3,"s",1000,1,68,2012,"HBI"
10040,4,"w",1000,1,169,2012,"HBI"
10042,1,"n",1000,1,479,2012,"HBI"
10042,2,"o",1000,1,436,2012,"HBI"
10042,3,"s",1000,1,482,2012,"HBI"
10042,4,"w",1000,1,351,2012,"HBI"
10043,1,"n",1000,1,458,2012,"HBI"
10043,2,"o",1000,1,410,2012,"HBI"
10043,3,"s",1000,1,365,2012,"HBI"
10043,4,"w",1000,1,363,2012,"HBI"
30001,1,"n",1000,1,469,2011,"HBI"
30001,2,"o",1000,1,258,2011,"HBI"
30001,3,"s",1000,1,223,2011,"HBI"
30001,4,"w",1000,1,491,2011,"HBI"
30002,1,"n",1000,1,122,2011,"HBI"
30002,2,"o",1000,1,216,2011,"HBI"
30002,3,"s",1000,1,131,2011,"HBI"
30002,4,"w",1000,1,102,2011,"HBI"
30004,1,"n",1000,1,129,2011,"HBI"
30004,2,"o",1000,1,108,2011,"HBI"
30004,3,"s",1000,1,68,2011,"HBI"
30004,4,"w",1000,1,53,2011,"HBI"
30006,1,"n",1000,1,163,2011,"HBI"
30006,2,"o",1000,1,180,2011,"HBI"
30006,3,"s",1000,1,457,2011,"HBI"
30006,4,"w",1000,1,203,2011,"HBI"
30007,1,"n",1000,1,186,2011,"HBI"
30007,2,"o",1000,1,424,2011,"HBI"
30007,3,"s",1000,1,248,2011,"HBI"
30007,4,"w",1000,1,137,2011,"HBI"
30008,1,"n",1000,1,112,2011,"HBI"
30008,2,"o",1000,1,44,2011,"HBI"
30008,3,"s",1000,1,245,2011,"HBI"
30008,4,"w",1000,1,135,2011,"HBI"
30009,1,"n",500,1,315,2011,"HBI"
30009,2,"o",1000,1,126,2011,"HBI"
30009,3,"s",1000,1,393,2011,"HBI"
30009,4,"w",1000,1,168,2011,"HBI"
30013,1,"n",1000,1,215,2011,"HBI"
30013,2,"o",1000,1,345,2011,"HBI"
30013,3,"s",1000,1,445,2011,"HBI"
