"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv","rem_reason"
100017,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100019,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100019,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100019,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100019,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100023,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100023,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100023,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100023,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100024,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100024,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100024,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100024,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100026,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100026,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100026,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100026,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100027,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100027,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100027,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100027,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100030,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100030,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100030,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100030,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100031,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100031,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100031,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100031,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100032,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100032,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100032,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100032,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100033,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100033,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100033,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100033,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100034,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100034,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100034,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100034,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100035,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100035,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100035,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100035,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100036,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100036,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100036,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100036,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100038,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100038,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100038,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100038,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100041,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100041,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100041,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100041,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100042,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100042,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100042,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100042,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100043,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100043,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100043,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100043,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100046,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100046,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100046,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100046,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100048,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100048,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100048,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100048,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100049,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100049,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100049,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100049,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100051,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100051,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100051,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100051,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100053,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100053,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100053,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100053,4,"w",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100054,1,"n",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100054,2,"o",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
100054,3,"s",1000,-1,500,1970,"warning","whole plot excluded during inventory status sorting"
