"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"30044","1","0.00785398163397448","2011","ag","0","0","0"
"30044","1","0.00785398163397448","2011","bg","0","0","0"
"30044","1","0.00785398163397448","2011","total","0","0","0"
"30053","2","0.00785398163397448","2011","ag","0","0","0"
"30053","2","0.00785398163397448","2011","bg","0","0","0"
"30053","2","0.00785398163397448","2011","total","0","0","0"
"30053","4","0.00785398163397448","2011","ag","0","0","0"
"30053","4","0.00785398163397448","2011","bg","0","0","0"
"30053","4","0.00785398163397448","2011","total","0","0","0"
"30080","2","0.00785398163397448","2011","ag","0","0","0"
"30080","2","0.00785398163397448","2011","bg","0","0","0"
"30080","2","0.00785398163397448","2011","total","0","0","0"
"30083","4","0.00785398163397448","2011","ag","0","0","0"
"30083","4","0.00785398163397448","2011","bg","0","0","0"
"30083","4","0.00785398163397448","2011","total","0","0","0"
"30088","2","0.00785398163397448","2011","ag","0","0","0"
"30088","2","0.00785398163397448","2011","bg","0","0","0"
"30088","2","0.00785398163397448","2011","total","0","0","0"
"30110","2","0.00785398163397448","2011","ag","0","0","0"
"30110","2","0.00785398163397448","2011","bg","0","0","0"
"30110","2","0.00785398163397448","2011","total","0","0","0"
"30119","2","0.00785398163397448","2011","ag","0","0","0"
"30119","2","0.00785398163397448","2011","bg","0","0","0"
"30119","2","0.00785398163397448","2011","total","0","0","0"
"30123","4","0.00785398163397448","2011","ag","0","0","0"
"30123","4","0.00785398163397448","2011","bg","0","0","0"
"30123","4","0.00785398163397448","2011","total","0","0","0"
"30127","3","0.00785398163397448","2011","ag","0","0","0"
"30127","3","0.00785398163397448","2011","bg","0","0","0"
"30127","3","0.00785398163397448","2011","total","0","0","0"
"30129","1","0.00785398163397448","2011","ag","0","0","0"
"30129","1","0.00785398163397448","2011","bg","0","0","0"
"30129","1","0.00785398163397448","2011","total","0","0","0"
"30131","1","0.00785398163397448","2011","ag","0","0","0"
