"plot_ID","team","date","plot_inv_status","inv_year","inv","rem_reason"
30524,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30525,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30526,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30527,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30528,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30529,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30530,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30531,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30532,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30533,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30534,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30535,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30536,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30537,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30538,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30539,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30540,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30541,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30542,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30543,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30544,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30545,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30546,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30547,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30548,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30549,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30550,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30551,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30552,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30553,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30554,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30555,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30556,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30557,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30558,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30559,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30560,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30561,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30562,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30563,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30564,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30565,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30566,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30567,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30568,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30569,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30570,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30571,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30572,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30573,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30574,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30575,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
30576,"-9",1970-01-01,-9,1970,"warning","whole plot excluded during inventory status sorting"
