"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb","min_org"
10001,1001,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT",-9,"PP-BB","BB","B","p3",200,NA,"min"
10002,1002,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT",-9,"BB-GG","GG","G","p2",200,NA,"min"
10003,1003,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",2,"LL-BB","BB","B","p2",200,NA,"min"
10004,1004,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOM","MOM",-9,"LL-BB","BB","B","p1",200,NA,"min"
10005,1005,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","ROR","RO",-9,"PP-SS","SS","S","p3",135,NA,"min"
10006,1006,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB","BB","B","p1",200,NA,"min"
10007,1007,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"PP","PP","P",NA,200,NA,"min"
10008,1008,1990,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROA","RO",3,"PP","PP","P","p4",200,NA,"min"
10010,1010,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB-SS","SS","S","p1",200,NA,"min"
10011,1011,1990,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROA","RO",-9,"PP-YU","YU","Y","p1",200,NA,"min"
10012,1012,1990,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO",-9,"BB-PP","PP","P","p2",200,NA,"min"
10013,1013,1990,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"BB","BB","B","p2",200,NA,"min"
10014,1014,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-9,"LL-SS","SS","S","p2",200,NA,"min"
10015,1015,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRA","MR",-9,"BB","BB","B","p3",210,NA,"min"
10016,1016,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",-9,"GG-BB","BB","B","p3",230,NA,"min"
10017,1017,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT",-9,"GG-BB","BB","B","p2",210,NA,"min"
10018,1018,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","ROR","RO",-9,"GG-PP","PP","P","p3",200,NA,"min"
10019,1019,1990,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","ROR","RO",-9,"SS","SS","S","p2",200,NA,"min"
10020,1020,1990,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","ROR","RO",2,"PP-SS","SS","S","p4",200,NA,"min"
10021,1021,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOM","MOM",-9,"PP-BB","BB","B","p3",200,NA,"min"
10022,1022,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"SS","SS","S","p1",200,NA,"min"
10023,1023,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","ROR","RO",-9,"SS-PP","PP","P","p4",220,NA,"min"
10024,1024,1990,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOR","MOT",-9,"SS-PP","PP","P","p4",200,NA,"min"
10025,1025,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRR","MR",-9,"PP-SS","SS","S","p4",210,NA,"min"
10026,1026,1990,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","AMO","AMO",-9,"HN","HN","H","p1",200,NA,"org"
10027,1027,1990,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"SS-BB","BB","B","p1",200,NA,"min"
10028,1028,1990,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUT","MU",1,"SS-BB","BB","B","p1",200,NA,"min"
10029,1029,1990,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","-2","-2",-9,"GH","GH","G","p1",100,NA,"org"
10030,1030,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"GG-SS","SS","S","p2",230,NA,"min"
10031,1031,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL-SS","SS","S","p1",200,NA,"min"
10032,1032,1990,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","-2","-2",-9,"GG","GG","G","p1",200,NA,"min"
10033,1033,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MRR","MR",-9,"GG-PP","PP","P","p4",220,NA,"min"
10034,1034,1990,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOM","MOM",-9,"BB-SS","SS","S","p1",200,NA,"min"
10035,1035,1990,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",-9,"BB-RR","RR","R","p1",200,NA,"min"
10036,1036,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MUO","MU",-9,"BB","BB","B","p2",200,NA,"min"
10037,1037,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"SS","SS","S","p2",200,NA,"min"
10038,1038,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MRA","MR",-9,"GG-PP","PP","P",NA,220,NA,"min"
10039,1039,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL-SS","SS","S","p2",200,NA,"min"
10040,1040,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROR","RO",-9,"GG-PP","PP","P",NA,NA,NA,"min"
10042,1042,1990,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOR","MOT",2,"PP-YU","YU","Y","p4",200,NA,"min"
10043,1043,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-9,"SS-BB","BB","B","p2",205,NA,"min"
