"lon","lat","plot_ID","e_ID","inv_year","e_form","CCS_r_m","stand"
-42.4534006665433,-42.399395890106,10003,1,2012,1,17.84,"B"
42.3884966005049,-42.4642832972486,10003,1,2012,1,17.84,"B"
-42.4102923857499,42.4425152383221,10003,1,2012,1,17.84,"B"
-42.4534006665433,-42.399395890106,10003,1,2012,1,17.84,"B"
55.4334510440965,-22.9593663967837,10005,1,2012,1,17.84,"B"
22.9599462515369,55.4332108769331,10005,1,2012,1,17.84,"B"
-22.9587865395182,-55.4336912051943,10005,1,2012,1,17.84,"B"
55.4334510440965,-22.9593663967837,10005,1,2012,1,17.84,"B"
55.0834810436945,-23.7867634643502,10013,1,2012,1,17.84,"B"
23.8046127728131,55.0757697244117,10013,1,2012,1,17.84,"B"
-23.7689116578657,-55.0911865782593,10013,1,2012,1,17.84,"B"
55.0834810436945,-23.7867634643502,10013,1,2012,1,17.84,"B"
59.8175487395663,4.67556015784311,10014,1,2012,1,17.84,"B"
4.68701648216699,-59.8166521672343,10014,1,2012,1,17.84,"B"
-4.66410366201552,59.8184431177373,10014,1,2012,1,17.84,"B"
59.8175487395663,4.67556015784311,10014,1,2012,1,17.84,"B"
17.6231759145927,57.3534974581613,10024,1,2012,1,17.84,"B"
57.3559125194097,-17.6153143334379,10024,1,2012,1,17.84,"B"
-57.3510813193526,17.6310371646425,10024,1,2012,1,17.84,"B"
17.6231759145927,57.3534974581613,10024,1,2012,1,17.84,"B"
44.3911490717815,-40.3661477489105,10033,1,2012,1,17.84,"B"
40.3711643932861,44.3865867749512,10033,1,2012,1,17.84,"B"
-40.3611305889553,-44.3957108016225,10033,1,2012,1,17.84,"B"
44.3911490717815,-40.3661477489105,10033,1,2012,1,17.84,"B"
14.8217742231938,-58.1404765105745,30009,1,2011,1,17.84,"B"
58.1454138647098,14.8023932693877,30009,1,2011,1,17.84,"B"
-58.1355326964051,-14.8411535301408,30009,1,2011,1,17.84,"B"
14.8217742231938,-58.1404765105745,30009,1,2011,1,17.84,"B"
47.9871113139667,36.0171785088861,30016,1,2011,1,17.84,"B"
36.0204247747819,-47.984674626846,30016,1,2011,1,17.84,"B"
-36.0139320781549,47.9895477814706,30016,1,2011,1,17.84,"B"
47.9871113139667,36.0171785088861,30016,1,2011,1,17.84,"B"
28.9702003756258,52.5426254596788,30026,1,2011,1,17.84,"B"
52.5521376092072,-28.9529416934264,30026,1,2011,1,17.84,"B"
-52.5331076422154,28.9874559327204,30026,1,2011,1,17.84,"B"
28.9702003756258,52.5426254596788,30026,1,2011,1,17.84,"B"
-18.4688011803638,-57.0868056818753,30031,1,2011,1,17.84,"B"
57.0807539428276,-18.4874965670957,30031,1,2011,1,17.84,"B"
-57.0928512977125,18.4501038126425,30031,1,2011,1,17.84,"B"
-18.4688011803638,-57.0868056818753,30031,1,2011,1,17.84,"B"
37.4839099611463,-46.8503627950166,30040,1,2011,1,17.84,"B"
46.8570501056297,37.4755501013461,30040,1,2011,1,17.84,"B"
-46.8436739929043,-37.4922686276318,30040,1,2011,1,17.84,"B"
37.4839099611463,-46.8503627950166,30040,1,2011,1,17.84,"B"
-58.9406758254661,11.2248266462033,30042,1,2011,1,17.84,"B"
11.2178762573134,58.9419990522514,30042,1,2011,1,17.84,"B"
-11.2317768790093,-58.9393517790971,30042,1,2011,1,17.84,"B"
-58.9406758254661,11.2248266462033,30042,1,2011,1,17.84,"B"
-59.9711261532538,-1.8611899179061,30058,1,2011,1,17.84,"warning"
1.85325794236362,-59.971371795208,30058,1,2011,1,17.84,"warning"
-1.86912186088986,59.9708794621952,30058,1,2011,1,17.84,"warning"
-59.9711261532538,-1.8611899179061,30058,1,2011,1,17.84,"warning"
11.176411540732,58.9498755305912,30059,1,2011,1,17.84,"B"
58.9522456693984,-11.1639030152944,30059,1,2011,1,17.84,"B"
-58.947502737717,11.1889195629803,30059,1,2011,1,17.84,"B"
11.176411540732,58.9498755305912,30059,1,2011,1,17.84,"B"
23.7682801013104,55.0914590569687,30063,1,2011,1,17.84,"B"
55.097406041951,-23.7544911005977,30063,1,2011,1,17.84,"B"
-55.08550862107,23.7820676131834,30063,1,2011,1,17.84,"B"
23.7682801013104,55.0914590569687,30063,1,2011,1,17.84,"B"
36.0565746188909,-47.9575168951892,30094,1,2011,1,17.84,"B"
47.9673528516635,36.0434884605251,30094,1,2011,1,17.84,"B"
-47.9476773686296,-36.0696580931092,30094,1,2011,1,17.84,"B"
36.0565746188909,-47.9575168951892,30094,1,2011,1,17.84,"B"
39.6574576339586,45.0253934353802,30112,1,2011,1,17.84,"B"
45.0319369438514,-39.6500271763462,30112,1,2011,1,17.84,"B"
-45.0188487008526,39.6648870116851,30112,1,2011,1,17.84,"B"
39.6574576339586,45.0253934353802,30112,1,2011,1,17.84,"B"
-34.4531587039411,49.1220913166474,30127,1,2011,1,17.84,"warning"
49.1147782881189,34.4635830074141,30127,1,2011,1,17.84,"warning"
-49.1294021326829,-34.4427328486741,30127,1,2011,1,17.84,"warning"
-34.4531587039411,49.1220913166474,30127,1,2011,1,17.84,"warning"
-36.750110868768,47.4281493538727,30130,1,2011,1,17.84,"B"
47.4203349761234,36.760193562497,30130,1,2011,1,17.84,"B"
-47.435961587801,-36.7400265138809,30130,1,2011,1,17.84,"B"
-36.750110868768,47.4281493538727,30130,1,2011,1,17.84,"B"
13.046780657231,58.5643365409538,30148,1,2011,1,17.84,"B"
58.5674122625289,-13.0329666949233,30148,1,2011,1,17.84,"B"
-58.5612575611582,13.0605938936825,30148,1,2011,1,17.84,"B"
