"plot_ID","e_ID","e_type","e_form","A_dist","A_azi","B_dist","B_azi","T_dist","T_azi","inv_year","inv"
50013,1,1,1,2684,2469,-2,384,24,-2,2011,"HBI"
50014,1,2,1,2403,2349,-2,266,347,-2,2011,"HBI"
50023,1,2,2,3201,2911,1940,1,300,332,2012,"HBI"
50024,1,3,2,3138,269,643,244,121,138,2011,"HBI"
50025,1,3,1,2549,2525,-2,185,262,-2,2011,"HBI"
50026,1,1,1,2687,2552,-2,175,102,-2,2011,"HBI"
50032,1,3,-9,3092,3294,1207,160,222,202,2012,"HBI"
50033,1,1,1,3007,2681,-2,113,172,-2,2011,"HBI"
50036,1,3,1,4498,3794,-2,28,343,-2,2011,"HBI"
50039,1,1,1,2922,3089,-2,298,355,-2,2011,"HBI"
50039,2,1,1,2362,2088,-2,82,166,-2,2011,"HBI"
50041,1,3,1,2814,2696,-2,350,21,-2,2012,"HBI"
50042,1,2,1,2664,2648,-2,7,128,-2,2011,"HBI"
50042,2,3,2,2007,2981,893,211,329,281,2011,"HBI"
50045,1,3,1,1958,1994,-2,28,307,-2,2011,"HBI"
50047,1,3,1,1828,1302,-2,375,77,-2,2012,"HBI"
50048,1,3,1,1498,1581,-2,94,330,-2,2012,"HBI"
50050,1,3,1,1601,2106,-2,312,0,-2,2012,"HBI"
50052,1,3,2,2075,2095,1284,241,186,188,2012,"HBI"
50053,1,3,1,1608,2136,-2,31,311,-2,2012,"HBI"
50056,1,3,1,1918,2012,-2,52,383,-2,2012,"HBI"
50057,1,1,2,1432,2015,1175,391,308,327,2012,"HBI"
50057,2,1,1,2664,2538,-2,235,149,-2,2012,"HBI"
50058,1,3,1,2352,2277,-2,120,159,-2,2011,"HBI"
50059,1,1,1,2568,2864,-2,232,298,-2,2012,"HBI"
50059,2,3,1,2980,2550,-2,335,10,-2,2012,"HBI"
50060,1,3,1,1800,1889,-2,64,356,-2,2012,"HBI"
50061,1,3,1,2419,1933,-2,393,311,-2,2012,"HBI"
50062,1,3,2,3651,2812,2384,366,35,31,2012,"HBI"
50063,1,3,1,2481,2210,-2,396,290,-2,2011,"HBI"
50063,2,3,1,2412,2497,-2,195,101,-2,2011,"HBI"
50064,1,1,1,2011,1372,-2,92,372,-2,2011,"HBI"
50065,1,3,1,1591,1954,-2,4,292,-2,2012,"HBI"
50068,1,3,2,2122,1828,1523,112,387,78,2012,"HBI"
50069,1,2,1,2699,3007,-2,300,235,-2,2011,"HBI"
50069,2,3,1,3096,2845,-2,71,129,-2,2011,"HBI"
50070,1,3,1,1921,2319,-2,317,182,-2,2011,"HBI"
50072,1,2,1,557,1957,-2,6,302,-2,2012,"HBI"
50073,1,1,2,2950,3085,2167,352,32,398,2012,"HBI"
50075,1,3,2,3050,3370,2366,358,17,12,2011,"HBI"
50075,2,3,1,2725,3070,-2,262,218,-2,2011,"HBI"
50080,1,1,2,3051,2736,2321,328,382,362,2012,"HBI"
50080,2,3,2,2107,1245,271,305,213,275,2012,"HBI"
50083,1,3,1,2608,2269,-2,217,128,-2,2011,"HBI"
50086,1,3,1,2575,2250,-2,320,22,-2,2011,"HBI"
50090,1,3,1,3277,2684,-2,169,100,-2,2011,"HBI"
50092,1,3,1,2035,2123,-2,258,74,-2,2011,"HBI"
50094,1,3,2,2913,2759,4249,175,326,232,2011,"HBI"
50101,1,3,2,2524,2651,0,221,321,0,2011,"HBI"
50102,1,1,2,2744,2149,1697,225,163,211,2011,"HBI"
50102,2,1,1,2643,2857,-2,21,395,-2,2011,"HBI"
50104,1,2,1,2098,2152,-2,2,325,-2,2012,"HBI"
50106,1,1,1,3594,4097,-2,84,27,-2,2011,"HBI"
50107,1,1,1,3169,2945,-2,54,118,-2,2011,"HBI"
50109,1,3,2,2423,1829,833,187,386,245,2011,"HBI"
50110,1,2,1,2031,1534,-2,145,26,-2,2011,"HBI"
50110,2,3,1,2838,2630,-2,320,240,-2,2011,"HBI"
50111,1,2,1,2144,2773,-2,129,30,-2,2011,"HBI"
50112,1,3,2,3425,4411,2881,110,194,171,2011,"HBI"
50114,1,1,1,3083,2250,-2,302,17,-2,2011,"HBI"
50117,1,3,1,2614,4146,-2,394,132,-2,2012,"HBI"
50117,2,2,1,4146,4092,-2,132,183,-2,2012,"HBI"
50121,1,2,1,2111,1856,-2,313,392,-2,2011,"HBI"
50122,1,1,2,1470,2383,1398,325,196,236,2012,"HBI"
50122,2,1,1,1838,1825,-2,115,20,-2,2012,"HBI"
50123,1,2,1,3497,2798,-2,239,154,-2,2012,"HBI"
50124,1,2,1,3295,3523,-2,59,5,-2,2011,"HBI"
50128,1,1,1,3450,3761,-2,368,46,-2,2011,"HBI"
50131,1,3,2,2370,2785,1809,61,144,110,2011,"HBI"
50132,1,3,1,2561,2266,-2,244,316,-2,2011,"HBI"
50133,1,2,1,3109,2471,-2,143,63,-2,2011,"HBI"
50134,1,3,1,3173,2806,-2,158,115,-2,2011,"HBI"
50141,1,2,1,2453,2666,-2,202,282,-2,2011,"HBI"
50142,1,2,2,3051,2906,2224,233,302,301,2011,"HBI"
50142,2,1,1,1913,1820,-2,388,118,-2,2011,"HBI"
50144,1,3,1,2018,1829,-2,48,322,-2,2011,"HBI"
50145,1,3,1,2427,1767,-2,57,376,-2,2011,"HBI"
50145,2,1,1,2986,2403,-2,252,184,-2,2011,"HBI"
60001,1,4,1,969,1448,-2,121,305,-2,2011,"HBI"
60001,2,4,1,1718,1524,-2,277,149,-2,2011,"HBI"
60004,1,3,1,1300,1250,-2,150,200,-2,2012,"HBI"
60008,1,3,1,821,1170,-2,104,340,-2,2011,"HBI"
60017,1,2,1,1725,1770,-2,20,100,-2,2012,"HBI"
60018,1,3,1,2190,2600,-2,396,26,-2,2011,"HBI"
60019,1,4,1,1600,1260,-2,275,325,-2,2011,"HBI"
60019,2,4,1,2600,1950,-2,275,325,-2,2011,"HBI"
60026,1,4,1,1651,1360,-2,264,203,-2,2011,"HBI"
60033,1,4,1,1531,1672,-2,127,211,-2,2011,"HBI"
60033,2,4,1,1170,1038,-2,105,216,-2,2011,"HBI"
60038,1,4,1,1529,1728,-2,300,175,-2,2011,"HBI"
60038,2,4,1,2229,2447,-2,300,175,-2,2011,"HBI"
60039,1,4,1,975,918,-2,311,162,-2,2012,"HBI"
60039,2,3,1,1538,1450,-2,285,185,-2,2012,"HBI"
60044,1,3,1,2052,2337,-2,383,329,-2,2011,"HBI"
60051,1,2,1,2630,2270,-2,320,295,-2,2012,"HBI"
60051,2,4,2,1300,1810,1550,180,80,135,2012,"HBI"
60058,1,3,1,1588,975,-2,12,160,-2,2012,"HBI"
60062,1,4,1,1616,1075,-2,108,252,-2,2011,"HBI"
60063,1,1,1,2438,2654,-2,270,300,-2,2011,"HBI"
60064,1,3,1,1462,681,-2,327,256,-2,2011,"HBI"
60065,1,4,1,1050,1050,-2,0,350,-2,2012,"HBI"
60069,1,4,1,830,1100,-2,200,135,-2,2011,"HBI"
60069,2,4,1,1300,1350,-2,225,300,-2,2011,"HBI"
60071,1,4,1,2541,2629,-2,135,165,-2,2011,"HBI"
60072,1,4,1,1501,1438,-2,22,90,-2,2011,"HBI"
60074,1,3,1,2367,2072,-2,0,235,-2,2011,"HBI"
60074,2,4,2,2875,3000,2717,270,157,185,2011,"HBI"
60076,1,4,2,1311,1780,867,150,355,387,2011,"HBI"
60076,2,4,1,677,1199,-2,397,95,-2,2011,"HBI"
60079,1,4,1,1200,1400,-2,355,100,-2,2011,"HBI"
60089,1,1,2,3000,1907,2368,156,206,150,2011,"HBI"
60089,2,3,1,1990,2383,-2,335,382,-2,2011,"HBI"
60090,1,3,1,2120,1748,-2,102,30,-2,2011,"HBI"
60092,1,4,1,1123,1252,-2,129,12,-2,2011,"HBI"
60092,2,3,1,1619,1450,-2,133,16,-2,2011,"HBI"
60093,1,4,2,3000,1177,1983,318,78,310,2011,"HBI"
60093,2,4,2,3000,1456,2238,326,48,328,2011,"HBI"
60096,1,1,1,1920,2220,-2,258,303,-2,2011,"HBI"
60099,1,3,1,2202,2286,-2,28,81,-2,2011,"HBI"
60100,1,3,2,2600,2506,2620,195,276,224,2011,"HBI"
60101,1,4,1,1430,1513,-2,161,244,-2,2011,"HBI"
60102,1,1,1,2760,3000,-2,399,348,-2,2011,"HBI"
60107,1,2,1,1670,2340,-2,132,195,-2,2012,"HBI"
60112,1,1,1,1900,2150,-2,85,55,-2,2012,"HBI"
60116,1,1,1,2500,2100,-2,360,320,-2,2012,"HBI"
60127,1,3,1,1510,1150,-2,275,148,-2,2012,"HBI"
60130,1,1,1,2400,2500,-2,48,85,-2,2012,"HBI"
60131,1,3,2,1843,1639,1484,39,190,100,2012,"HBI"
60139,1,2,1,2050,1350,-2,335,235,-2,2012,"HBI"
70003,1,4,1,2400,2300,-2,283,350,-2,2012,"HBI"
70005,1,4,1,2800,2800,-2,18,55,-2,2012,"HBI"
70009,1,4,1,2060,1650,-2,70,395,-2,2012,"HBI"
70012,1,3,1,2500,2500,-2,78,340,-2,2012,"HBI"
70015,1,1,1,3000,3200,-2,260,305,-2,2012,"HBI"
70030,1,4,1,1500,1300,-2,375,48,-2,2012,"HBI"
70031,1,4,1,1500,1450,-2,252,400,-2,2012,"HBI"
70033,1,1,1,2760,2930,-2,320,379,-2,2012,"HBI"
70037,1,1,2,2000,2750,2200,120,174,180,2012,"HBI"
70038,1,4,1,2500,2600,-2,10,345,-2,2012,"HBI"
70046,1,2,1,2500,2150,-2,100,175,-2,2012,"HBI"
70048,1,1,2,1780,2180,2240,145,240,214,2012,"HBI"
70052,1,1,1,2220,2210,-2,10,95,-2,2012,"HBI"
70053,1,1,1,2600,2100,-2,123,146,-2,2012,"HBI"
70056,1,4,2,1850,1800,2100,5,265,330,2012,"HBI"
70059,1,4,1,1600,1300,-2,390,110,-2,2012,"HBI"
70060,1,1,1,3250,2860,-2,240,190,-2,2012,"HBI"
70061,1,4,1,2000,1450,-2,305,170,-2,2012,"HBI"
70077,1,2,1,1700,1709,-2,303,377,-2,2012,"HBI"
70083,1,4,1,2700,2700,-2,142,215,-2,2012,"HBI"
70093,1,4,1,2340,2070,-2,210,252,-2,2012,"HBI"
70098,1,1,1,2000,1820,-2,315,395,-2,2012,"HBI"
70100,1,4,1,3000,3000,-2,392,348,-2,2011,"HBI"
70110,1,4,1,2100,2210,-2,50,390,-2,2012,"HBI"
70117,1,4,1,1810,1700,-2,235,100,-2,2012,"HBI"
70124,1,4,2,2000,1720,980,100,150,128,2012,"HBI"
70124,2,1,1,1310,1400,-2,320,35,-2,2012,"HBI"
70129,1,4,1,1990,2250,-2,345,51,-2,2012,"HBI"
70137,1,1,2,2900,2730,1950,377,14,375,2012,"HBI"
70139,1,1,1,2800,2600,-2,210,172,-2,2012,"HBI"
70139,2,1,1,2700,2640,-2,275,315,-2,2012,"HBI"
70140,1,4,1,1960,1900,-2,345,8,-2,2012,"HBI"
70144,1,1,1,1860,1600,-2,234,177,-2,2012,"HBI"
70144,2,1,2,3000,1950,2600,385,20,380,2012,"HBI"
70146,1,4,1,2010,1490,-2,40,380,-2,2012,"HBI"
70146,2,4,2,1800,2260,2300,150,263,238,2012,"HBI"
70147,1,1,2,2700,3400,2600,295,329,330,2012,"HBI"
70153,1,1,2,2370,2640,2240,162,245,220,2012,"HBI"
70157,1,4,1,2700,2300,-2,5,345,-2,2012,"HBI"
70162,1,4,1,2150,2080,-2,390,50,-2,2012,"HBI"
70164,1,2,1,1400,1700,-2,160,245,-2,2012,"HBI"
80054,1,4,1,1950,1750,-2,10,340,-2,2011,"HBI"
80065,1,4,1,2600,2850,-2,355,322,-2,2011,"HBI"
80066,1,4,1,2350,2150,-2,315,353,-2,2011,"HBI"
80076,1,4,1,2000,1850,-2,205,160,-2,2011,"HBI"
80083,1,3,1,2440,2480,-2,315,332,-2,2011,"HBI"
80086,1,4,1,1691,1767,-2,197,154,-2,2011,"HBI"
80088,1,4,1,2200,1900,-2,19,390,-2,2011,"HBI"
80094,1,4,1,1400,1400,-2,350,15,-2,2011,"HBI"
80102,1,4,1,1343,1630,-2,230,160,-2,2011,"HBI"
80103,1,4,1,1898,2062,-2,230,160,-2,2011,"HBI"
80110,1,3,1,1350,2100,-2,316,370,-2,2012,"HBI"
80111,1,4,1,1900,2000,-2,232,280,-2,2012,"HBI"
80115,1,1,1,2300,2100,-2,354,5,-2,2011,"HBI"
80116,1,4,1,1350,1550,-2,15,85,-2,2012,"HBI"
80127,1,4,1,2250,2150,-2,290,245,-2,2012,"HBI"
80146,1,2,2,1900,1690,1150,185,220,194,2012,"HBI"
80159,1,4,1,2000,1800,-2,300,250,-2,2012,"HBI"
80160,1,3,1,1200,1200,-2,340,20,-2,2012,"HBI"
80169,1,3,2,1450,1400,1800,65,255,165,2012,"HBI"
80173,1,4,1,900,1200,-2,400,325,-2,2011,"HBI"
80177,1,3,1,1200,1100,-2,323,42,-2,2012,"HBI"
80179,1,4,1,2450,2400,-2,220,193,-2,2011,"HBI"
80182,1,2,1,2050,2100,-2,372,330,-2,2012,"HBI"
80184,1,1,1,2300,2400,-2,280,340,-2,2012,"HBI"
80184,2,4,1,1200,1250,-2,135,75,-2,2012,"HBI"
80193,1,4,1,2340,2180,-2,10,382,-2,2011,"HBI"
80198,1,3,1,1300,1700,-2,160,230,-2,2012,"HBI"
80211,1,4,1,1150,550,-2,320,400,-2,2012,"HBI"
80218,1,4,2,2100,2350,1800,210,305,260,2011,"HBI"
80219,1,4,2,1569,1286,1780,157,32,83,2011,"HBI"
80224,1,1,1,2000,1850,-2,215,170,-2,2011,"HBI"
80246,1,4,1,1650,1450,-2,25,85,-2,2011,"HBI"
80249,1,4,1,1600,1300,-2,200,120,-2,2012,"HBI"
80254,1,4,1,2170,1860,-2,103,58,-2,2011,"HBI"
80254,2,1,1,1960,1760,-2,318,290,-2,2011,"HBI"
80255,1,4,1,1850,2000,-2,37,100,-2,2011,"HBI"
80265,1,4,1,1500,1050,-2,20,90,-2,2012,"HBI"
80267,1,3,1,1200,1200,-2,106,205,-2,2012,"HBI"
80272,1,4,1,1100,950,-2,270,330,-2,2012,"HBI"
80273,1,4,1,1500,1600,-2,320,270,-2,2012,"HBI"
80276,1,4,1,1400,1100,-2,150,186,-2,2012,"HBI"
80278,1,4,1,1200,600,-2,100,200,-2,2012,"HBI"
80279,1,1,1,1450,1200,-2,330,400,-2,2011,"HBI"
80282,1,4,1,2100,2150,-2,140,200,-2,2012,"HBI"
80283,1,4,1,1760,1600,-2,250,305,-2,2011,"HBI"
80293,1,3,1,910,900,-2,210,330,-2,2011,"HBI"
80297,1,4,1,1700,1740,-2,245,290,-2,2011,"HBI"
80307,1,4,1,1510,1650,-2,223,170,-2,2011,"HBI"
80001,1,4,1,2560,2706,-2,155,123,-2,2011,"HBI"
80003,1,3,1,1064,845,-2,392,126,-2,2011,"HBI"
80003,2,4,2,2368,2456,2280,186,128,156,2011,"HBI"
80004,1,2,1,1654,1591,-2,324,1,-2,2012,"HBI"
80014,1,2,1,1977,2121,-2,241,218,-2,2012,"HBI"
80016,1,3,2,1289,1625,1640,15,211,287,2012,"HBI"
80016,2,3,2,1625,1973,1131,211,94,92,2012,"HBI"
80024,1,2,2,1754,2146,1382,390,79,20,2011,"HBI"
80025,1,2,1,2132,2034,-2,274,311,-2,2012,"HBI"
80026,1,3,1,1830,2000,-2,63,90,-2,2012,"HBI"
80026,2,1,2,2812,2715,2401,196,216,197,2012,"HBI"
80029,1,2,2,916,2854,2198,269,376,366,2012,"HBI"
80032,1,2,1,1819,1775,-2,108,147,-2,2011,"HBI"
80041,1,2,1,1360,1610,-2,183,211,-2,2012,"HBI"
80049,1,3,1,1022,1194,-2,20,356,-2,2012,"HBI"
80050,1,2,2,1653,1965,1535,286,194,211,2012,"HBI"
80058,1,3,2,1146,1132,1763,270,320,264,2011,"HBI"
80058,2,2,1,2065,1711,-2,75,120,-2,2011,"HBI"
80061,1,2,1,2020,1909,-2,244,295,-2,2011,"HBI"
80063,1,2,1,1373,1400,-2,293,263,-2,2011,"HBI"
80079,1,3,2,987,1830,573,257,390,50,2012,"HBI"
80091,1,2,1,1755,1827,-2,35,75,-2,2011,"HBI"
80112,1,2,1,2871,2946,-2,367,382,-2,2012,"HBI"
80114,1,3,1,1217,1416,-2,266,302,-2,2012,"HBI"
80117,1,3,1,750,1305,-2,365,299,-2,2012,"HBI"
80119,1,2,1,2411,2075,-2,65,97,-2,2012,"HBI"
80120,1,1,1,2365,1975,-2,3,34,-2,2012,"HBI"
80122,1,3,1,1438,965,-2,162,221,-2,2012,"HBI"
80128,1,3,2,1592,1777,1095,330,395,379,2012,"HBI"
80129,1,3,2,2001,1604,1911,364,319,340,2012,"HBI"
80130,1,2,2,2715,2455,2280,338,391,362,2012,"HBI"
80137,1,2,1,1858,2619,-2,63,180,-2,2012,"HBI"
80141,1,3,1,839,1132,-2,17,339,-2,2012,"HBI"
80149,1,3,1,804,1772,-2,78,245,-2,2012,"HBI"
80150,1,1,1,2325,2483,-2,38,70,-2,2012,"HBI"
80154,1,2,1,1906,2181,-2,258,299,-2,2012,"HBI"
80157,1,3,1,1219,1234,-2,28,8,-2,2012,"HBI"
80163,1,2,2,867,1712,1432,169,48,85,2012,"HBI"
80164,1,3,1,1535,2036,-2,386,326,-2,2012,"HBI"
80164,2,2,1,2641,2627,-2,310,243,-2,2012,"HBI"
80204,1,2,2,2600,2581,2434,256,182,223,2012,"HBI"
80208,1,3,2,2313,2628,2143,201,171,185,2012,"HBI"
80214,1,1,1,2459,2039,-2,386,31,-2,2012,"HBI"
80221,1,2,1,2548,2505,-2,398,382,-2,2011,"HBI"
80227,1,3,1,2116,2402,-2,190,214,-2,2012,"HBI"
80227,2,2,1,2730,2803,-2,297,318,-2,2012,"HBI"
80228,1,3,2,657,1000,452,165,366,305,2012,"HBI"
80228,2,1,1,1819,1989,-2,365,273,-2,2012,"HBI"
80231,1,2,1,1752,1779,-2,353,380,-2,2012,"HBI"
80233,1,4,1,1050,450,-2,400,100,-2,2012,"HBI"
80234,1,3,2,852,1200,178,180,325,1200,2012,"HBI"
80236,1,3,2,687,1717,533,21,279,392,2012,"HBI"
80238,1,2,1,1648,2546,-2,368,44,-2,2012,"HBI"
80238,2,1,1,2142,2065,-2,85,116,-2,2012,"HBI"
80260,1,2,1,2171,1980,-2,31,48,-2,2011,"HBI"
80261,1,2,2,1493,1807,1620,294,353,345,2011,"HBI"
80263,1,3,1,735,737,-2,8,342,-2,2012,"HBI"
80264,1,3,1,1622,1198,-2,248,202,-2,2011,"HBI"
80284,1,2,1,2198,2507,-2,391,35,-2,2012,"HBI"
80286,1,2,2,1471,1538,1628,14,342,389,2012,"HBI"
80292,1,3,1,1732,1731,-2,361,393,-2,2012,"HBI"
80292,2,2,2,1692,2129,1458,63,166,141,2012,"HBI"
80303,1,3,1,1384,1405,-2,301,262,-2,2012,"HBI"
80304,1,2,1,1085,1088,-2,281,207,-2,2012,"HBI"
100018,1,2,1,2401,2678,-2,26,138,-2,2011,"HBI"
100021,1,2,1,2717,2659,-2,30,315,-2,2011,"HBI"
100022,1,2,1,2905,2809,-2,32,117,-2,2011,"HBI"
100029,1,2,1,2211,2875,-2,220,337,-2,2011,"HBI"
100039,1,3,1,1720,2358,-2,64,136,-2,2011,"HBI"
100040,1,2,2,2027,2197,988,33,153,94,2011,"HBI"
100045,1,3,1,3094,2474,-2,208,56,-2,2011,"HBI"
100050,1,1,1,3145,2785,-2,397,314,-2,2011,"HBI"
100064,1,1,2,2242,2310,1225,375,237,305,2011,"HBI"
100066,1,1,2,3233,3185,2106,60,166,48,2011,"HBI"
100068,1,2,1,2335,2767,-2,294,165,-2,2011,"HBI"
100071,1,2,1,1699,2124,-2,207,383,-2,2011,"HBI"
100071,2,2,1,2415,1975,-2,397,191,-2,2011,"HBI"
100072,1,2,1,3644,3425,-2,73,155,-2,2011,"HBI"
100082,1,1,1,2082,2244,-2,11,50,-2,2011,"HBI"
100082,2,2,1,2029,1910,-2,136,246,-2,2011,"HBI"
120008,1,-9,1,1811,1550,-2,336,217,-2,2011,"HBI"
120015,1,2,1,1488,2004,-2,245,102,-2,2011,"HBI"
120020,1,3,1,1811,1750,-2,80,178,-2,2011,"HBI"
120039,1,3,1,1440,1422,-2,272,214,-2,2011,"HBI"
120040,1,2,1,1261,1252,-2,234,334,-2,2012,"HBI"
120047,1,2,1,2019,1943,-2,133,223,-2,2012,"HBI"
120058,1,1,1,2099,1686,-2,132,47,-2,2012,"HBI"
120073,1,3,1,1943,2003,-2,229,157,-2,2011,"HBI"
120074,1,1,1,1739,1822,-2,268,321,-2,2011,"HBI"
120075,1,3,1,1931,1907,-2,35,106,-2,2011,"HBI"
120081,1,2,1,1699,1844,-2,31,140,-2,2011,"HBI"
120093,1,3,1,2281,2253,-2,391,81,-2,2011,"HBI"
120100,1,3,1,1715,1912,-2,100,34,-2,2011,"HBI"
120103,1,2,1,2219,2143,-2,98,167,-2,2011,"HBI"
120108,1,2,1,1719,1668,-2,221,111,-2,2012,"HBI"
120108,2,1,2,1668,1853,1997,111,335,3,2012,"HBI"
120117,1,3,1,1969,2025,-2,137,196,-2,2011,"HBI"
120118,1,3,1,1543,1605,-2,141,73,-2,2011,"HBI"
120119,1,1,1,1823,1678,-2,195,121,-2,2011,"HBI"
120153,1,2,1,1961,1323,-2,50,313,-2,2012,"HBI"
120163,1,3,2,1918,1722,809,290,1,240,2011,"HBI"
120164,1,2,1,1310,1317,-2,384,255,-2,2011,"HBI"
130013,1,3,1,2176,1691,-2,308,380,-2,2012,"HBI"
130017,1,2,1,2165,1982,-2,194,67,-2,2012,"HBI"
130059,1,3,1,1589,1959,-2,314,181,-2,2012,"HBI"
130064,1,3,1,1973,1671,-2,225,321,-2,2012,"HBI"
140014,1,3,1,1982,1788,-2,129,67,-2,2012,"HBI"
140022,1,1,1,2715,2718,-2,290,340,-2,2011,"HBI"
140023,1,2,1,2795,2982,-2,7,39,-2,2011,"HBI"
140024,1,1,1,1751,1290,-2,343,291,-2,2011,"HBI"
140026,1,1,1,2022,2250,-2,313,387,-2,2011,"HBI"
140027,1,3,1,2622,2466,-2,297,336,-2,2011,"HBI"
140027,2,3,1,1848,2340,-2,376,52,-2,2011,"HBI"
140029,1,3,1,2303,1944,-2,299,363,-2,2011,"HBI"
140033,1,3,1,2276,2302,-2,221,160,-2,2011,"HBI"
140037,1,1,1,2910,2970,-2,48,17,-2,2011,"HBI"
140039,1,2,1,2290,2347,-2,123,82,-2,2011,"HBI"
140042,1,3,1,2720,2980,-2,245,299,-2,2011,"HBI"
140043,1,3,1,2537,1881,-2,146,194,-2,2011,"HBI"
140046,1,3,1,2723,2980,-2,120,146,-2,2011,"HBI"
140048,1,3,2,1555,2136,1123,6,240,143,2011,"HBI"
140053,1,1,1,2998,2631,-2,22,381,-2,2012,"HBI"
140054,1,3,1,2800,2806,-2,106,150,-2,2011,"HBI"
140056,1,1,2,747,2141,1323,324,208,256,2011,"HBI"
140067,1,1,1,1942,2581,-2,396,40,-2,2012,"HBI"
140068,1,1,1,2355,2679,-2,30,383,-2,2012,"HBI"
140187,1,1,2,2430,2730,2980,171,80,121,2011,"HBI"
140234,1,2,1,2285,2128,-2,155,190,-2,2011,"HBI"
140254,1,1,2,970,2522,2478,186,313,274,2012,"HBI"
140316,1,1,1,2680,2503,-2,175,134,-2,2012,"HBI"
150003,1,3,2,2650,3000,2230,305,43,253,2011,"HBI"
150011,1,4,1,1720,1350,-2,240,160,-2,2012,"HBI"
150011,2,4,1,2550,2100,-2,240,160,-2,2012,"HBI"
