"plot_ID","team","date","stand_spec","stand_type","structure","hbi_status","inv_year","inv","CCS_r_m","CCS_LT_inv_status","rem_reason"
10009,"Janssen, Heile",2012-02-14,1,7,2,1,2012,"HBI",5.64,1,"whole plot excluded during inventory status sorting"
10009,"Janssen, Heile",2012-02-14,1,7,2,1,2012,"HBI",12.62,1,"whole plot excluded during inventory status sorting"
10009,"Janssen, Heile",2012-02-14,1,7,2,1,2012,"HBI",17.84,1,"whole plot excluded during inventory status sorting"
10041,"Janssen, Heile",2012-02-15,1,8,1,1,2012,"HBI",5.64,1,"whole plot excluded during inventory status sorting"
10041,"Janssen, Heile",2012-02-15,1,8,1,1,2012,"HBI",12.62,1,"whole plot excluded during inventory status sorting"
10041,"Janssen, Heile",2012-02-15,1,8,1,1,2012,"HBI",17.84,1,"whole plot excluded during inventory status sorting"
20003,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
20003,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
20003,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
20004,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
20004,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
20004,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
80109,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
80109,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
80109,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
80181,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
80181,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
80181,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
80187,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
80187,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
80187,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
80190,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
80190,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
80190,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
80197,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
80197,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
80197,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",17.84,-1,"whole plot excluded during inventory status sorting"
80888,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",5.64,-1,"whole plot excluded during inventory status sorting"
80888,"-9",1970-01-01,-9,-9,-9,1,1970,"warning",12.62,-1,"whole plot excluded during inventory status sorting"
