"plot_ID","CCS_DW_inv_status","dist_cm","azi","inv_year","inv","plot_A_ha"
80265,1,-9,-9,2012,"HBI",0.0500343869018386
150004,1,-9,-9,2011,"HBI",0.0500343869018386
80247,1,-9,-9,2011,"HBI",0.0500343869018386
70163,1,-9,-9,2012,"HBI",0.0500343869018386
100003,1,-9,-9,2011,"HBI",0.0500343869018386
80234,1,-9,-9,2012,"HBI",0.0500343869018386
60114,1,-9,-9,2012,"HBI",0.0500343869018386
140031,1,-9,-9,2011,"HBI",0.0500343869018386
80157,1,-9,-9,2012,"HBI",0.0500343869018386
80107,1,-9,-9,2011,"HBI",0.0500343869018386
160092,1,-9,-9,2011,"HBI",0.0500343869018386
140042,1,-9,-9,2011,"HBI",0.0500343869018386
50039,1,-9,-9,2011,"HBI",0.0500343869018386
30019,1,-9,-9,2011,"HBI",0.0500343869018386
30179,1,-9,-9,2011,"HBI",0.0500343869018386
50027,1,-9,-9,2011,"HBI",0.0500343869018386
30165,1,-9,-9,2011,"HBI",0.0500343869018386
80133,1,-9,-9,2012,"HBI",0.0500343869018386
50095,1,-9,-9,2012,"HBI",0.0500343869018386
50096,1,-9,-9,2012,"HBI",0.0500343869018386
120182,1,-9,-9,2011,"HBI",0.0500343869018386
60017,1,-9,-9,2012,"HBI",0.0500343869018386
80094,1,-9,-9,2011,"HBI",0.0500343869018386
60066,1,-9,-9,2011,"HBI",0.0500343869018386
100088,1,-9,-9,2011,"HBI",0.0500343869018386
30119,1,-9,-9,2011,"HBI",0.0500343869018386
160041,1,-9,-9,2011,"HBI",0.0500343869018386
70118,1,-9,-9,2012,"HBI",0.0500343869018386
130044,1,-9,-9,2012,"HBI",0.0500343869018386
50044,1,-9,-9,2011,"HBI",0.0500343869018386
60069,1,-9,-9,2011,"HBI",0.0500343869018386
30089,1,-9,-9,2011,"HBI",0.0500343869018386
60032,1,-9,-9,2011,"HBI",0.0500343869018386
30150,1,-9,-9,2011,"HBI",0.0500343869018386
140068,1,-9,-9,2012,"HBI",0.0500343869018386
120033,1,-9,-9,2011,"HBI",0.0500343869018386
