"plot_ID","e_ID","e_form","X","Y","CCS_r_m","stand"
10003,1,1,12.5953701935763,-12.6332089173078,17.84,"B"
10003,1,1,11.937290017442,-13.2577036865167,17.84,"B"
10003,1,1,11.2270757763291,-13.8642839523924,17.84,"B"
10003,1,1,10.4860889008977,-14.4328631796491,17.84,"B"
10003,1,1,9.71636038466809,-14.9618829321464,17.84,"B"
10003,1,1,8.92000000000002,-15.4498932035144,17.84,"B"
10003,1,1,8.09919051535353,-15.8955563915205,17.84,"B"
10003,1,1,7.2561817124723,-16.297650964344,17.84,"B"
10003,1,1,6.39328421988818,-16.6550748087101,17.84,"B"
10003,1,1,5.51286317964909,-16.9668482507055,17.84,"B"
10003,1,1,4.617331764629,-17.232116740997,17.84,"B"
10003,1,1,3.70914456418886,-17.4501531970911,17.84,"B"
10003,1,1,2.79079085631775,-17.6203599962173,17.84,"B"
10003,1,1,1.86478778469498,-17.74227061337,17.84,"B"
10003,1,1,0.93367345937416,-17.8155509000216,17.84,"B"
10003,1,1,4.46664182153276e-14,-17.84,17.84,"B"
10003,1,1,-0.933673459374071,-17.8155509000216,17.84,"B"
10003,1,1,-1.86478778469489,-17.74227061337,17.84,"B"
10003,1,1,-2.79079085631767,-17.6203599962173,17.84,"B"
10003,1,1,-3.70914456418877,-17.4501531970911,17.84,"B"
10003,1,1,-4.61733176462891,-17.232116740997,17.84,"B"
10003,1,1,-5.512863179649,-16.9668482507056,17.84,"B"
10003,1,1,-6.3932842198881,-16.6550748087101,17.84,"B"
10003,1,1,-7.25618171247222,-16.297650964344,17.84,"B"
10003,1,1,-8.09919051535346,-15.8955563915205,17.84,"B"
10003,1,1,-8.91999999999994,-15.4498932035144,17.84,"B"
10003,1,1,-9.71636038466802,-14.9618829321464,17.84,"B"
10003,1,1,-10.4860889008977,-14.4328631796491,17.84,"B"
10003,1,1,-11.227075776329,-13.8642839523924,17.84,"B"
10003,1,1,-11.937290017442,-13.2577036865168,17.84,"B"
10003,1,1,-12.614784976368,-12.6147849763681,17.84,"B"
10003,1,1,-13.2577036865167,-11.9372900174421,17.84,"B"
10003,1,1,-13.8642839523923,-11.2270757763292,17.84,"B"
10003,1,1,-14.432863179649,-10.4860889008978,17.84,"B"
10003,1,1,-14.9618829321463,-9.71636038466816,17.84,"B"
10003,1,1,-15.4498932035143,-8.92000000000008,17.84,"B"
10003,1,1,-15.8955563915204,-8.0991905153536,17.84,"B"
10003,1,1,-16.297650964344,-7.25618171247237,17.84,"B"
10003,1,1,-16.65507480871,-6.39328421988825,17.84,"B"
10003,1,1,-16.9668482507055,-5.51286317964916,17.84,"B"
10003,1,1,-17.232116740997,-4.61733176462907,17.84,"B"
10003,1,1,-17.4501531970911,-3.70914456418893,17.84,"B"
10003,1,1,-17.6203599962172,-2.79079085631783,17.84,"B"
10003,1,1,-17.74227061337,-1.86478778469505,17.84,"B"
10003,1,1,-17.8155509000216,-0.933673459374236,17.84,"B"
10003,1,1,-17.84,-1.21023042445556e-13,17.84,"B"
10003,1,1,-17.8155509000216,0.933673459373994,17.84,"B"
10003,1,1,-17.74227061337,1.86478778469481,17.84,"B"
10003,1,1,-17.6203599962173,2.79079085631759,17.84,"B"
10003,1,1,-17.4501531970911,3.7091445641887,17.84,"B"
10003,1,1,-17.232116740997,4.61733176462884,17.84,"B"
10003,1,1,-16.9668482507056,5.51286317964893,17.84,"B"
10003,1,1,-16.6550748087101,6.39328421988803,17.84,"B"
10003,1,1,-16.2976509643441,7.25618171247215,17.84,"B"
10003,1,1,-15.8955563915205,8.09919051535338,17.84,"B"
10003,1,1,-15.4498932035145,8.91999999999987,17.84,"B"
10003,1,1,-14.9618829321464,9.71636038466796,17.84,"B"
10003,1,1,-14.4328631796492,10.4860889008976,17.84,"B"
10003,1,1,-13.8642839523925,11.227075776329,17.84,"B"
10003,1,1,-13.2577036865168,11.9372900174419,17.84,"B"
10003,1,1,-12.6175723258019,12.6118477229324,17.84,"B"
10003,1,1,12.5953701935763,-12.6332089173078,17.84,"B"
10005,1,1,17.84,0,17.84,"B"
10005,1,1,17.8155509000216,-0.933673459374117,17.84,"B"
10005,1,1,17.74227061337,-1.86478778469494,17.84,"B"
