"stand_type","compartiment","stand_component","inv","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","n_ha","n_SP","plot_ID","stand","dom_SP","SP_code"
"1","ag","DW","HBI",3.29048660654815,1.64524330327407,0.00364627419495313,NA,232.106089488663,NA,"all","all","all","all"
"1","ag","DW","momok",3.74329191984705,1.87164595992353,0.00607703462939995,NA,177.655597266092,NA,"all","all","all","all"
"1","ag","LT","HBI",121.095644961669,60.5478224808344,0.182740947950451,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","ag","LT","momok",216.34975351337,108.174876756685,0.32457885880501,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","ag","RG","HBI",NA,NA,NA,NA,5028.56570740093,2.92465753424658,"all","all","all","all"
"1","ag","RG","momok",NA,NA,NA,NA,2051.23796708506,1.90909090909091,"all","all","all","all"
"1","ag","all","HBI",210.201916650634,105.100958325317,0.315736386299552,NA,NA,NA,"all","all","all","all"
"1","ag","all","momok",240.249184106145,120.124592053072,0.365193474831453,NA,NA,NA,"all","all","all","all"
"1","bg","DW","HBI",0,0,0,NA,232.106089488663,NA,"all","all","all","all"
"1","bg","LT","HBI",16.4285491258627,8.21427456293135,0.0662076714468431,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","bg","LT","momok",33.3509784389358,16.6754892194679,0.129490270960873,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","bg","RG","HBI",0.346464530700303,0.173232265350152,NA,NA,5028.56570740093,2.92465753424658,"all","all","all","all"
"1","bg","RG","momok",NA,NA,NA,NA,2051.23796708506,1.90909090909091,"all","all","all","all"
"1","bg","all","HBI",27.2897638586421,13.644881929321,0.110840385412913,NA,NA,NA,"all","all","all","all"
"1","bg","all","momok",34.331840063298,17.165920031649,0.13771238585607,NA,NA,NA,"all","all","all","all"
"1","fwb","DW","HBI",1.81341964401452,0.906709822007262,0.00795715853117285,NA,232.106089488663,NA,"all","all","all","all"
"1","fwb","DW","momok",1.28757426847173,0.643787134235863,0.00592007280317951,NA,177.655597266092,NA,"all","all","all","all"
"1","fwb","LT","HBI",14.7589565524932,7.37947827624659,0.0649511498819974,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","fwb","LT","momok",30.2893421821615,15.1446710910808,0.131131826545705,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","fwb","RG","HBI",2.22119719533933,1.11059859766967,0.0101339662039788,NA,5028.56570740093,2.92465753424658,"all","all","all","all"
"1","fwb","RG","momok",NA,NA,NA,NA,2051.23796708506,1.90909090909091,"all","all","all","all"
"1","ndl","LT","HBI",7.00360289718393,3.50180144859197,0,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","ndl","LT","momok",15.394802067737,7.69740103386848,0,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","ndl","RG","HBI",0.30329586946105,0.151647934730525,0,NA,5028.56570740093,2.92465753424658,"all","all","all","all"
"1","ndl","RG","momok",NA,NA,0,NA,2051.23796708506,1.90909090909091,"all","all","all","all"
"1","sb","DW","HBI",0.475829446531876,0.237914723265938,0.00235064862395819,NA,232.106089488663,NA,"all","all","all","all"
"1","sb","DW","momok",0.109924699607756,0.0549623498038782,0.000780911893378054,NA,177.655597266092,NA,"all","all","all","all"
"1","sb","LT","HBI",7.76030060352205,3.88015030176102,0.0383651972865626,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","sb","LT","momok",13.7017463107223,6.85087315536117,0.0656811228420829,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","stb","DW","HBI",0.108811692943552,0.054405846471776,0.000529409445429452,NA,232.106089488663,NA,"all","all","all","all"
"1","stb","DW","momok",0.0178473947006361,0.00892369735031807,0.000128620865394798,NA,177.655597266092,NA,"all","all","all","all"
"1","stb","LT","HBI",0.335757949546578,0.167878974773289,0.00164653756970099,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","stb","LT","momok",0.593995327858182,0.296997663929091,0.00285366631258192,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","stw","DW","HBI",1.2975681399187,0.648784069959351,0.00106355102228399,NA,232.106089488663,NA,"all","all","all","all"
"1","stw","DW","momok",0.30672874681151,0.153364373405755,0.000408591698603948,NA,177.655597266092,NA,"all","all","all","all"
"1","stw","LT","HBI",3.87366253321996,1.93683126660998,0.00326472311381923,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","stw","LT","momok",6.94252827165842,3.47126413582921,0.00563015034843039,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","sw","DW","HBI",4.90714151416145,2.45357075708073,0.00412359356023992,NA,232.106089488663,NA,"all","all","all","all"
"1","sw","DW","momok",1.29499758530643,0.647498792653216,0.0017042752719099,NA,177.655597266092,NA,"all","all","all","all"
"1","sw","LT","HBI",86.9360641009033,43.4680320504516,0.0741772470589,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","sw","LT","momok",150.553252793414,75.276626396707,0.122051690798211,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","total","DW","HBI",0,0,0,NA,232.106089488663,NA,"all","all","all","all"
"1","total","LT","HBI",137.336554140978,68.6682770704892,0.248714873559098,22.1714387148342,498.131750077997,1.9486301369863,"all","all","all","all"
"1","total","LT","momok",251.134126566059,125.567063283029,0.457165324891695,39.0971702895132,692.251185256172,1.18181818181818,"all","all","all","all"
"1","total","RG","HBI",NA,NA,NA,NA,5028.56570740093,2.92465753424658,"all","all","all","all"
"1","total","RG","momok",NA,NA,NA,NA,2051.23796708506,1.90909090909091,"all","all","all","all"
"1","total","all","HBI",226.005920873109,113.002960436555,0.409762654228264,NA,NA,NA,"all","all","all","all"
"1","total","all","momok",262.203562115217,131.101781057609,0.482014425185061,NA,NA,NA,"all","all","all","all"
"2","ag","DW","HBI",1.97707211824283,0.988536059121415,0.00216594487867191,NA,151.681830873574,NA,"all","all","all","all"
"2","ag","DW","momok",3.40796625569631,1.70398312784816,0.00723736321324766,NA,155.377012286353,NA,"all","all","all","all"
"2","ag","LT","HBI",91.2988280872945,45.6494140436473,0.142279888616402,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","ag","LT","momok",55.5559081292219,27.7779540646109,0.0891934742278132,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","ag","RG","HBI",0.851934801505462,0.425967400752731,0.00406835071042819,NA,3006.85732109271,3.5632183908046,"all","all","all","all"
"2","ag","RG","momok",NA,NA,NA,NA,2472.61201662895,2.75,"all","all","all","all"
"2","ag","all","HBI",160.995239002254,80.4976195011269,0.249750221240403,NA,NA,NA,"all","all","all","all"
