"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
30094,0,2011,5.64,"0",50.1281799758214,"A"
30112,1,2011,17.84,"partly intersecting",499.34884891877,"B"
30112,0,2011,17.84,"0",500.055221995286,"A"
30112,1,2011,12.62,"partly intersecting",249.807796243356,"B"
30112,0,2011,12.62,"0",250.307483924166,"A"
30112,1,2011,5.64,"partly intersecting",49.8319173836004,"B"
30112,0,2011,5.64,"0",50.0552326387324,"A"
30128,1,2011,17.84,"partly intersecting",276.230468175673,"B"
30128,0,2011,17.84,"0",723.173602738383,"A"
30128,1,2011,12.62,"partly intersecting",154.139166308894,"B"
30128,0,2011,12.62,"0",345.976113858628,"A"
30128,1,2011,5.64,"partly intersecting",45.6360041018299,"B"
30128,0,2011,5.64,"0",54.2511459205028,"A"
30130,1,2011,17.84,"partly intersecting",499.247038739144,"B"
30130,0,2011,17.84,"0",500.157032174912,"A"
30130,1,2011,12.62,"partly intersecting",249.735775813599,"B"
30130,0,2011,12.62,"0",250.379504353923,"A"
30130,1,2011,5.64,"partly intersecting",49.7997307573062,"B"
30130,0,2011,5.64,"0",50.0874192650265,"A"
30148,1,2011,17.84,"partly intersecting",499.197188851025,"B"
30148,0,2011,17.84,"0",500.20688206303,"A"
30148,1,2011,12.62,"partly intersecting",249.700512047452,"B"
30148,0,2011,12.62,"0",250.41476812007,"A"
30148,1,2011,5.64,"partly intersecting",49.7839710393136,"B"
30148,0,2011,5.64,"0",50.1031789830192,"A"
30150,1,2011,17.84,"partly intersecting",499.492069382696,"B"
30150,0,2011,17.84,"0",499.91200153136,"A"
30150,1,2011,12.62,"partly intersecting",249.909110271089,"B"
30150,0,2011,12.62,"0",250.206169896433,"A"
30150,1,2011,5.64,"partly intersecting",49.8771956020166,"B"
30150,0,2011,5.64,"0",50.0099544203161,"A"
30157,1,2011,17.84,"partly intersecting",499.256506732034,"B"
30157,0,2011,17.84,"0",500.147564182021,"A"
30157,1,2011,12.62,"partly intersecting",249.742473463278,"B"
30157,0,2011,12.62,"0",250.372806704244,"A"
30157,1,2011,5.64,"partly intersecting",49.8027240016953,"B"
30157,0,2011,5.64,"0",50.0844260206374,"A"
30159,1,2011,17.84,"partly intersecting",499.083012817369,"B"
30159,0,2011,17.84,"0",500.321058096687,"A"
30159,1,2011,12.62,"partly intersecting",249.619744023643,"B"
30159,0,2011,12.62,"0",250.495536143879,"A"
30159,1,2011,5.64,"partly intersecting",49.7478750286732,"B"
30159,0,2011,5.64,"0",50.1392749936596,"A"
30178,1,2011,17.84,"partly intersecting",499.419157261676,"B"
30178,0,2011,17.84,"0",499.98491365238,"A"
30178,1,2011,12.62,"partly intersecting",249.857532302072,"B"
30178,0,2011,12.62,"0",250.25774786545,"A"
30178,1,2011,5.64,"partly intersecting",49.8541449090484,"B"
30178,0,2011,5.64,"0",50.0330051132844,"A"
30188,1,2011,17.84,"partly intersecting",499.492389719661,"B"
30188,0,2011,17.84,"0",499.911681194395,"A"
30188,1,2011,12.62,"partly intersecting",249.909337021615,"B"
30188,0,2011,12.62,"0",250.205943145907,"A"
30188,1,2011,5.64,"partly intersecting",49.8772973672832,"B"
30188,0,2011,5.64,"0",50.0098526550495,"A"
30512,1,2011,17.84,"partly intersecting",499.492456516941,"B"
30512,0,2011,17.84,"0",499.911614397115,"A"
30512,1,2011,12.62,"partly intersecting",249.909384129506,"B"
30512,0,2011,12.62,"0",250.205896038016,"A"
30512,1,2011,5.64,"partly intersecting",49.8773179919908,"B"
30512,0,2011,5.64,"0",50.009832030342,"A"
30515,1,2011,17.84,"partly intersecting",499.265076188526,"B"
30515,0,2011,17.84,"0",500.13899472553,"A"
30515,1,2011,12.62,"partly intersecting",249.748535489114,"B"
30515,0,2011,12.62,"0",250.366744678408,"A"
30515,1,2011,5.64,"partly intersecting",49.8054331796444,"B"
30515,0,2011,5.64,"0",50.0817168426884,"A"
30520,1,2011,17.84,"partly intersecting",499.229867210531,"B"
30520,0,2011,17.84,"0",500.174203703525,"A"
30520,1,2011,12.62,"partly intersecting",249.723628689658,"B"
30520,0,2011,12.62,"0",250.391651477864,"A"
30520,1,2011,5.64,"partly intersecting",49.7943020901886,"B"
30520,0,2011,5.64,"0",50.0928479321441,"A"
30522,1,2011,17.84,"partly intersecting",499.481720482562,"B"
30522,0,2011,17.84,"0",499.922350431494,"A"
30522,1,2011,12.62,"partly intersecting",249.901789468416,"B"
30522,0,2011,12.62,"0",250.213490699107,"A"
30522,1,2011,5.64,"partly intersecting",49.8739238645302,"B"
30522,0,2011,5.64,"0",50.0132261578025,"A"
30523,1,2011,17.84,"partly intersecting",499.131003087485,"B"
30523,0,2011,17.84,"0",500.273067826571,"A"
30523,1,2011,12.62,"partly intersecting",249.653692297683,"B"
30523,0,2011,12.62,"0",250.461587869839,"A"
30523,1,2011,5.64,"partly intersecting",49.763046840526,"B"
30523,0,2011,5.64,"0",50.1241031818068,"A"
30602,1,2011,17.84,"partly intersecting",499.429258363149,"B"
30602,0,2011,17.84,"0",499.974812550907,"A"
30602,1,2011,12.62,"partly intersecting",249.864677812195,"B"
30602,0,2011,12.62,"0",250.250602355328,"A"
30602,1,2011,5.64,"partly intersecting",49.8573383065994,"B"
30602,0,2011,5.64,"0",50.0298117157334,"A"
30605,1,2011,17.84,"partly intersecting",499.056599624538,"B"
30605,0,2011,17.84,"0",500.347471289518,"A"
30605,1,2011,12.62,"partly intersecting",249.601060828487,"B"
30605,0,2011,12.62,"0",250.514219339035,"A"
30605,1,2011,5.64,"partly intersecting",49.7395294500358,"B"
30605,0,2011,5.64,"0",50.147620572297,"A"
30619,1,2011,17.84,"partly intersecting",499.229629453019,"B"
30619,0,2011,17.84,"0",500.174441461037,"A"
30619,1,2011,12.62,"partly intersecting",249.723460500207,"B"
30619,0,2011,12.62,"0",250.391819667315,"A"
30619,1,2011,5.64,"partly intersecting",49.7942269246971,"B"
30619,0,2011,5.64,"0",50.0929230976357,"A"
30622,1,2011,17.84,"partly intersecting",499.008645400099,"B"
30622,0,2011,17.84,"0",500.395425513957,"A"
30622,1,2011,12.62,"partly intersecting",249.567136579364,"B"
30622,0,2011,12.62,"0",250.548143588158,"A"
30622,1,2011,5.64,"partly intersecting",49.7243642532582,"B"
30622,0,2011,5.64,"0",50.1627857690745,"A"
30624,1,2011,17.84,"partly intersecting",499.056357101886,"B"
30624,0,2011,17.84,"0",500.347713812169,"A"
30624,1,2011,12.62,"partly intersecting",249.600887794418,"B"
30624,0,2011,12.62,"0",250.514392373104,"A"
30624,1,2011,5.64,"partly intersecting",49.7394479975454,"B"
30624,0,2011,5.64,"0",50.1477020247873,"A"
30633,1,2011,17.84,"partly intersecting",153.269273379265,"B"
30633,0,2011,17.84,"0",846.134797534791,"A"
30633,1,2011,12.62,"partly intersecting",78.9231367712573,"B"
30633,0,2011,12.62,"0",421.192143396265,"A"
30633,1,2011,5.64,"partly intersecting",15.766344949488,"B"
30633,0,2011,5.64,"0",84.1208050728447,"A"
30638,1,2011,17.84,"partly intersecting",498.989363284439,"B"
