"bfhnr","inventur","erhebjahr","horinr","ot","ut","horizont","humus","kalk","oxid","oxid_anteil","red","red_anteil","gefuege_form","gefuege_groesse","pedogen","wurzelintfein","wurzelintgrob","wurzel_verteil","humositaet","bodenart","grus","kies","stein","schichtung","gestein1","gestein2","gestein3","stratigrafie"
10001,2,2007,3,0,4,"jYAeh","h3","c0","e0","-2","r0","-2","kru","gre2","-1","Wf3","Wg1","u","-2","fS",6,0,0,928,-2,-2,-2,"WA,,gf"
10001,2,2007,4,4,6,"Oh","-2","c0","e0","-2","r0","-2","-2","-2","-1","Wf5","Wg1","u","-2","Vbn",0,0,0,-2,-2,-2,-2,"Vbn"
10001,2,2007,5,6,9,"Aeh","h3","c0","e0","-2","r0","-2","kru","gre2","-1","Wf3","Wg1","u","-2","fS",6,0,0,928,-2,-2,-2,"WA,,gf"
10001,2,2007,6,9,17,"Bhs","h1","c0","e0","-2","r0","-2","kit","gre1","-1","Wf4","Wg1","u","-2","fS",6,0,0,928,-2,-2,-2,"WA,,gf"
10001,2,2007,7,17,60,"Bsv","h1","c0","e0","-2","r0","-2","sub","gre2","-1","Wf5","Wg1","u","-2","Su2",6,0,1,928,-2,-2,-2,"WA,,gf"
10001,2,2007,8,60,85,"Bv","h0","c0","e0","-2","r0","-2","sub","gre1","-1","Wf4","Wg2","u","-2","Sl2",6,0,6,928,-2,-2,-2,"WA,,gf"
10001,2,2007,9,85,98,"BvCv","h0","c0","e0","-2","r0","-2","sub","gre1","-1","Wf3","Wg1","u","-2","Sl2",6,0,6,928,-2,-2,-2,"WA,,gf"
10001,2,2007,10,98,120,"Cv1","h0","c0","e0","-2","r0","-2","sub","gre1","-1","Wf3","Wg0","u","-2","Sl2",6,0,0,928,-2,-2,-2,"WA,,gf"
10001,2,2007,11,120,170,"Cv2","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","Sl2",6,0,0,928,-2,-2,-2,"WA,,gf"
10001,2,2007,12,170,200,"Cv3","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","Sl2",6,0,0,928,-2,-2,-2,"WA,,gf"
