"bund_nr","team","datum","hbi_status","beart","besttyp","struktur","schlussgrad_schi1","schlussgrad_schi2","mischung","pk1_aufnahme","pk2_aufnahme","pk3_aufnahme","geraet","beschreibungbestockung","anmerkung"
120004,"KF",2012-04-24,-9,1,5,2,6,2,1,2,1,1,"-9","das ist Punkt 4",NA
120005,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120006,"KF",2011-10-12,-9,1,6,4,5,6,2,1,1,1,"-9","Kiefer mit Kronenbruch bei 23,80m",NA
120007,"KF",2012-03-21,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120008,"KF",2011-09-23,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120009,"KF",2011-11-23,-9,1,2,1,2,1,1,1,1,1,"-9",NA,NA
120010,"KF",2011-12-01,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120011,"KF",2011-12-01,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120012,"KF",2012-04-14,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120013,"KF",2011-09-14,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120014,"KF",2011-09-15,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120015,"KF",2011-10-04,-9,1,5,1,2,-9,1,1,1,1,"-9",NA,NA
120016,"KF",2011-10-07,-9,1,2,1,4,-9,1,1,1,1,"-9",NA,NA
120017,"KF",2011-10-13,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120018,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120019,"KF",2012-03-28,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120020,"KF",2011-10-31,-9,1,2,1,5,-1,1,1,1,1,"-9",NA,NA
120021,"KF",2011-10-14,-9,1,2,1,5,-9,1,1,1,1,"-9",NA,NA
120022,"KF",2011-11-17,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120023,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120024,"KF",2011-10-27,-9,1,2,2,6,6,1,1,1,1,"-9","kein Metallrohr - sondern Blechplatte",NA
120025,"KF",2011-10-24,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120026,"KF",2012-03-12,-9,1,2,4,4,4,1,1,1,1,"-9","Holzeinschlag,Messungen könnten fehlerhaft sein da viel befahrene Straße",NA
120027,"KF",2012-03-23,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120028,"KF",2011-11-09,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120029,"KF",2011-11-07,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120030,"KF",2011-11-03,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120031,"KF",2011-11-10,-9,1,2,1,2,-9,1,1,1,1,"-9","kein Pflock",NA
120032,"KF",2011-11-02,-9,1,2,4,6,6,1,1,1,1,"-9",NA,NA
120033,"KF",2011-11-15,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120034,"KF",2012-04-20,-9,1,2,1,1,-9,1,1,1,2,"-9","Aufnahmepunkt 97 cm und 334 gon vom Pflock",NA
120035,"KF",2012-04-21,-9,1,2,1,1,-9,1,1,1,2,"-9","Aufnahmepunkt 87 cm und 12 gon vom Pflock",NA
120036,"KF",2012-03-13,-9,1,2,1,3,-9,1,1,1,2,"-9",NA,NA
120037,"KF",2011-11-10,-9,1,2,1,3,-9,1,1,1,2,"-9",NA,NA
120038,"KF",2011-11-11,-9,1,2,1,1,-9,1,1,1,1,"-9",NA,NA
120039,"KF",2011-11-11,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120040,"KF",2012-04-26,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120041,"KF",2012-04-24,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120042,"KF",2012-04-17,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120043,"KF",2012-04-24,-9,1,2,1,2,-9,1,1,1,2,"-9","Aufnahmepunkt 50 cm und 388 gon vom Pflock",NA
120044,"KF",2012-04-18,-9,1,2,1,6,-9,1,1,1,2,"-9",NA,NA
120045,"KF",2012-04-25,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120046,"KF",2012-04-05,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120047,"KF",2012-04-07,-9,1,2,2,6,6,1,1,1,1,"-9",NA,NA
120048,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120049,"KF",2011-09-29,-9,1,4,4,2,6,1,2,1,1,"-9",NA,NA
120050,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120051,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120052,"KF",2011-09-30,-9,1,4,4,1,6,1,1,1,1,"-9",NA,NA
120053,"KF",2011-10-10,-9,1,3,1,1,-1,1,1,1,1,"-9",NA,NA
120054,"KF",2011-10-12,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120055,"KF",2011-11-30,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120056,"KF",2012-03-20,-9,1,4,1,2,-9,1,1,1,1,"-9",NA,NA
120057,"KF",2012-01-21,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120058,"KF",2012-04-12,-9,1,2,4,6,6,1,1,1,1,"-9",NA,NA
120059,"KF",2012-04-14,-9,1,3,1,2,-9,2,2,2,2,"-9",NA,NA
120060,"KF",2011-09-16,-9,1,1,1,3,-9,1,1,1,1,"-9",NA,NA
120061,"KF",2011-09-23,-9,1,2,1,2,-9,1,1,1,1,"-9","kein Pflock",NA
120062,"KF",2012-04-14,-9,1,2,1,2,-9,1,1,1,1,"-9","Aufnahmepunkt 142 cm und 40 gon vom Pflock",NA
120063,"KF",2012-04-13,-9,1,3,6,6,6,2,1,1,1,"-9","Aufnahmepunkt 92 cm und 199 gon vom Pflock",NA
120064,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120065,"KF",2011-09-13,-9,1,3,1,6,-1,1,1,1,1,"-9",NA,NA
120066,"KF",2011-09-28,-9,1,2,1,3,-9,1,1,1,1,"-9",NA,NA
120067,"KF",2011-11-23,-9,1,2,1,6,-9,1,1,1,2,"-9","kein Pflock",NA
120068,"KF",2011-11-23,-9,1,2,1,1,-9,1,1,1,1,"-9","kein Pflock",NA
120069,"KF",2011-12-01,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
