"bund_nr","pk_nr","lfd_nr","bart","hoehe","grklasse"
33010,"E",7,104,100,0
33010,"E",8,104,180,1
33010,"E",9,104,180,1
33010,"S",1,104,320,1
33010,"S",2,104,105,0
33010,"S",3,104,170,1
33010,"S",4,104,160,1
33010,"S",5,104,55,0
33010,"W",1,104,240,1
33010,"W",2,104,110,0
33010,"W",3,104,170,1
33010,"W",4,104,290,1
33010,"W",5,104,230,3
33010,"W",6,104,90,0
33010,"W",7,104,260,1
33010,"W",8,104,210,1
33010,"W",9,104,200,1
33010,"W",10,104,120,0
34030,"N",1,207,50,0
34030,"N",2,207,45,0
34030,"N",3,207,35,0
34030,"N",4,207,30,0
34030,"N",5,207,30,0
34030,"N",6,207,30,0
34030,"N",7,207,25,0
34030,"N",8,207,30,0
34030,"N",9,207,40,0
34030,"N",10,207,45,0
34030,"E",1,207,85,0
34030,"E",2,207,240,1
34030,"S",1,207,25,0
34030,"S",2,207,25,0
34030,"S",3,207,50,0
34030,"S",4,207,45,0
34030,"S",5,207,25,0
34030,"S",6,207,35,0
34030,"S",7,207,20,0
34030,"S",8,207,25,0
34030,"S",9,207,30,0
34030,"S",10,207,35,0
34030,"W",1,121,30,0
34030,"W",2,121,40,0
34030,"W",3,207,280,1
34030,"W",4,207,200,1
34030,"W",5,207,320,1
34030,"W",6,207,500,3
34030,"W",7,207,280,1
34030,"W",8,207,110,0
34030,"W",9,207,270,1
34030,"W",10,207,85,0
34040,"N",1,207,20,0
34040,"N",2,207,35,0
34040,"N",3,207,20,0
34040,"N",4,207,30,0
34040,"N",5,207,35,0
34040,"N",6,207,30,0
34040,"N",7,207,20,0
34040,"N",8,207,20,0
34040,"N",9,207,20,0
34040,"N",10,207,30,0
34040,"E",1,121,30,0
34040,"E",2,121,30,0
34040,"E",3,121,20,0
34040,"E",4,121,45,0
34040,"E",5,121,30,0
34040,"E",6,121,30,0
34040,"S",1,207,65,0
34040,"S",2,207,80,0
34040,"S",3,121,80,0
34040,"S",4,121,55,0
34040,"S",5,121,50,0
34040,"S",6,121,55,0
34040,"S",7,201,20,0
34040,"S",8,201,20,0
34040,"S",9,121,150,1
34040,"S",10,121,130,1
34040,"W",1,121,60,0
34040,"W",2,121,160,1
34040,"W",3,207,40,0
34040,"W",4,121,60,0
34040,"W",5,207,40,0
34040,"W",6,207,40,0
34040,"W",7,207,40,0
34040,"W",8,207,60,0
34040,"W",9,207,20,0
34040,"W",10,121,115,0
34020,"N",1,214,220,1
34020,"N",2,214,100,0
34020,"N",3,214,400,1
34020,"N",4,214,270,1
34020,"N",5,214,80,0
34020,"N",6,214,300,1
34020,"N",7,214,300,1
34020,"N",8,214,170,1
34020,"N",9,214,260,1
34020,"N",10,214,140,1
34020,"E",1,214,105,0
34020,"E",2,214,95,0
34020,"E",3,214,140,1
34020,"E",4,214,45,0
34020,"E",5,214,70,0
34020,"E",6,214,85,0
34020,"E",7,214,105,0
34020,"E",8,214,50,0
34020,"E",9,214,155,1
34020,"E",10,214,175,1
34020,"S",1,214,400,3
34020,"S",2,214,110,0
34020,"S",3,214,120,0
34020,"S",4,214,230,1
34020,"S",5,214,105,0
34020,"S",6,214,140,1
34020,"S",7,214,350,1
34020,"S",8,214,160,1
34020,"S",9,214,200,1
34020,"S",10,214,400,1
34020,"W",1,214,250,1
34020,"W",2,214,340,1
34020,"W",3,214,130,1
34020,"W",4,214,150,1
34020,"W",5,214,150,1
34020,"W",6,214,180,1
34020,"W",7,214,310,3
34020,"W",8,214,310,2
34020,"W",9,214,380,2
34020,"W",10,214,270,1
33040,"N",1,104,145,1
33040,"N",2,104,70,0
33040,"N",3,104,110,0
33040,"N",4,104,175,1
33040,"N",5,104,205,1
33040,"N",6,104,145,0
33040,"E",1,207,55,0
33040,"E",2,207,35,0
33040,"E",3,207,30,0
33040,"E",4,207,30,0
33040,"E",5,207,35,0
33040,"E",6,207,75,0
33040,"E",7,207,35,0
33040,"E",8,207,25,0
33040,"E",9,104,110,0
33040,"E",10,104,95,0
33040,"S",1,207,30,0
33040,"S",2,207,105,0
33040,"S",3,207,115,0
33040,"S",4,207,110,0
33040,"S",5,207,75,0
33040,"S",6,207,30,0
33040,"S",7,104,60,0
33040,"S",8,104,60,0
33040,"S",9,104,60,0
33040,"S",10,111,65,0
33040,"W",1,104,125,0
33040,"W",2,104,65,0
33040,"W",3,104,170,1
33040,"W",4,104,70,0
33040,"W",5,104,90,0
33040,"W",6,104,80,0
33040,"W",7,207,30,0
29080,"N",1,207,60,0
29080,"N",2,207,30,0
29080,"N",3,207,20,0
29080,"N",4,207,25,0
29080,"N",5,207,50,0
29080,"N",6,207,50,0
29080,"E",1,207,20,0
29080,"E",2,207,25,0
29080,"E",3,207,40,0
29080,"E",4,207,25,0
29080,"E",5,207,35,0
29080,"E",6,207,45,0
29080,"E",7,207,60,0
29080,"E",8,207,55,0
29080,"E",9,207,30,0
29080,"E",10,207,65,0
29080,"S",1,207,95,0
29080,"S",2,207,125,0
29080,"S",3,207,300,2
29080,"S",4,207,75,0
29080,"S",5,207,170,1
29080,"S",6,207,230,1
29080,"S",7,207,180,1
29080,"S",8,207,490,3
29080,"W",1,207,85,0
29080,"W",2,207,310,1
29080,"W",3,207,380,2
29080,"W",4,207,20,0
29080,"W",5,207,80,0
29090,"N",1,214,225,3
29090,"N",2,214,180,1
29090,"N",3,214,260,1
29090,"N",4,214,140,1
29090,"N",5,214,420,3
29090,"N",6,214,305,2
29090,"N",7,214,240,1
29090,"N",8,214,230,1
29090,"N",9,214,340,2
29090,"N",10,207,95,0
29090,"E",1,214,140,1
29090,"E",2,214,300,3
29090,"E",3,214,140,1
29090,"E",4,214,220,1
29090,"E",5,214,100,0
29090,"E",6,214,155,1
29090,"E",7,214,145,1
29090,"E",8,214,105,0
29090,"E",9,214,305,1
29090,"E",10,214,135,1
29090,"S",1,214,120,0
29090,"S",2,214,440,3
29090,"S",3,214,220,2
29090,"S",4,214,95,0
29090,"S",5,214,125,0
29090,"S",6,214,115,0
29090,"S",7,214,330,3
29090,"S",8,214,310,2
29090,"S",9,214,45,0
29090,"S",10,214,90,0
29090,"W",1,214,310,2
29090,"W",2,214,135,1
29090,"W",3,214,100,0
29090,"W",4,214,165,1
29090,"W",5,214,250,1
29090,"W",6,214,100,0
29090,"W",7,214,280,3
29090,"W",8,214,45,0
29090,"W",9,214,85,0
29090,"W",10,214,110,0
35500,"E",1,108,70,0
35500,"E",2,108,65,0
35500,"W",1,108,115,0
27040,"N",1,108,125,0
27040,"N",2,108,80,0
27040,"N",3,108,220,1
27040,"N",4,108,150,1
27040,"N",5,108,160,1
27040,"N",6,108,150,1
27040,"N",7,108,230,1
27040,"N",8,108,240,1
27040,"N",9,108,150,1
27040,"N",10,108,150,1
27040,"E",1,108,150,1
27040,"E",2,108,130,1
27040,"E",3,108,120,0
27040,"E",4,108,130,1
27040,"E",5,108,140,1
27040,"E",6,108,150,1
27040,"E",7,108,165,1
27040,"E",8,108,150,1
27040,"E",9,108,150,1
27040,"E",10,108,120,0
27040,"S",1,108,230,1
27040,"S",2,108,150,1
27040,"S",3,108,150,1
27040,"S",4,108,150,1
27040,"S",5,108,110,0
27040,"S",6,108,80,0
27040,"S",7,108,150,1
27040,"S",8,108,230,1
27040,"S",9,108,185,1
27040,"S",10,108,150,1
27040,"W",1,108,250,1
27040,"W",2,108,260,1
27040,"W",3,108,200,1
27040,"W",4,108,160,1
27040,"W",5,108,135,1
27040,"W",6,108,180,1
27040,"W",7,108,190,1
27040,"W",8,108,110,0
27040,"W",9,108,115,0
27040,"W",10,108,290,1
27011,"N",1,207,500,3
26010,"N",1,207,215,1
26010,"E",1,121,105,0
26010,"E",2,121,115,0
26010,"E",3,121,215,1
26010,"E",4,207,50,0
26010,"E",5,121,125,0
26010,"E",6,121,90,0
26010,"E",7,121,105,0
26010,"E",8,121,85,0
26010,"E",9,121,95,0
26010,"S",1,121,100,0
26010,"W",1,207,406,2
26020,"N",1,104,110,0
26020,"N",2,108,70,0
26020,"N",3,104,90,0
26020,"N",4,104,80,0
26020,"N",5,104,145,1
26020,"N",6,104,60,0
26020,"N",7,111,260,1
26020,"E",1,104,30,0
26020,"E",2,104,45,0
26020,"E",3,104,65,0
26020,"E",4,104,45,0
26020,"E",5,111,220,1
26020,"E",6,104,60,0
26020,"E",7,104,40,0
26020,"E",8,207,35,0
26020,"E",9,104,100,0
26020,"S",1,121,240,1
26020,"S",2,121,200,1
26020,"S",3,121,315,1
26020,"S",4,121,335,1
26020,"S",5,121,280,1
26020,"S",6,111,530,2
26020,"S",7,207,30,0
26020,"S",8,121,160,1
26020,"S",9,121,280,1
26020,"S",10,121,290,1
26020,"W",1,104,190,1
26020,"W",2,207,220,1
26020,"W",3,104,50,0
26020,"W",4,104,80,0
26020,"W",5,207,160,1
26020,"W",6,104,100,0
26020,"W",7,104,100,0
26020,"W",8,121,180,1
26020,"W",9,121,170,1
26020,"W",10,104,130,0
26030,"N",1,104,80,0
26030,"N",2,102,75,0
26030,"N",3,102,105,0
26030,"N",4,104,60,0
26030,"N",5,102,75,0
26030,"N",6,104,100,0
26030,"N",7,102,120,0
26030,"N",8,102,110,0
26030,"N",9,102,120,0
26030,"N",10,102,310,1
26030,"E",1,121,350,1
26030,"E",2,102,140,1
26030,"E",3,102,230,1
26030,"E",4,207,60,0
26030,"E",5,207,40,0
26030,"E",6,207,40,0
26030,"E",7,121,160,1
26030,"E",8,121,230,1
26030,"E",9,207,60,0
26030,"E",10,207,40,0
26030,"S",1,104,110,0
26030,"S",2,102,280,1
26030,"S",3,102,190,1
26030,"S",4,102,400,1
26030,"S",5,102,230,1
26030,"S",6,102,330,1
26030,"S",7,102,370,1
26030,"S",8,102,190,1
26030,"S",9,102,180,1
26030,"S",10,104,140,1
26030,"W",1,104,450,3
26030,"W",2,102,450,1
26030,"W",3,104,50,0
26030,"W",4,102,130,1
26030,"W",5,102,90,0
26030,"W",6,102,60,0
26030,"W",7,102,60,0
26030,"W",8,102,60,0
26030,"W",9,102,60,0
26030,"W",10,102,120,0
21030,"N",1,102,260,1
21030,"N",2,102,450,1
21030,"N",3,102,422,1
21030,"E",1,102,230,1
21030,"E",2,102,430,1
21030,"E",3,102,70,0
21030,"E",4,112,130,1
21030,"E",5,112,128,0
21030,"S",1,102,280,1
21020,"S",1,104,590,3
21020,"S",2,104,270,1
21020,"S",3,104,160,1
21020,"S",4,108,100,0
21020,"S",5,104,80,0
21020,"W",1,104,170,1
21020,"W",2,108,80,0
21020,"W",3,108,450,2
21020,"W",4,108,500,2
21020,"W",5,108,200,1
21020,"W",6,104,180,1
21020,"W",7,104,80,0
21020,"W",8,104,120,0
21020,"N",1,104,580,1
21020,"N",2,120,120,0
21020,"N",3,104,220,1
21020,"N",4,104,270,1
21020,"N",5,120,450,1
21020,"E",1,104,180,1
21020,"E",2,104,170,1
21020,"E",3,104,120,0
21020,"E",4,104,90,0
21020,"E",5,NA,20,0
21020,"E",6,104,70,0
21020,"E",7,102,110,0
21020,"E",8,104,620,3
23061,"N",1,207,20,0
23061,"N",2,207,48,0
23061,"N",3,207,188,1
23061,"N",4,207,245,1
23061,"N",5,207,172,1
23061,"N",6,207,40,0
23061,"N",7,207,198,1
23061,"N",8,108,71,0
23061,"E",1,207,27,0
23061,"E",2,207,23,0
23061,"E",3,207,101,0
23061,"E",4,207,138,1
23061,"E",5,207,24,0
23061,"E",6,207,145,1
23061,"E",7,108,83,0
23061,"S",1,207,128,0
23061,"S",2,207,105,0
23061,"S",3,207,167,1
23061,"S",4,207,221,1
23061,"S",5,207,73,0
23061,"S",6,207,134,1
23061,"S",7,207,252,1
23061,"W",1,207,110,0
23061,"W",2,207,176,1
23061,"W",3,207,154,1
23061,"W",4,108,138,1
23061,"W",5,207,114,0
23061,"W",6,121,150,1
23061,"W",7,207,191,1
23061,"W",8,207,242,1
23061,"W",9,207,91,0
23061,"W",10,108,73,0
23060,"N",1,207,20,0
23060,"N",2,207,20,0
23060,"N",3,207,20,0
23060,"N",4,207,35,0
23060,"E",1,121,21,0
23060,"E",2,121,25,0
23060,"E",3,121,39,0
23060,"E",4,121,31,0
23060,"E",5,207,37,0
23060,"E",6,207,26,0
23060,"E",7,207,105,0
23060,"E",8,207,34,0
23060,"E",9,207,45,0
23060,"E",10,207,56,0
23060,"S",1,207,42,0
23060,"S",2,207,26,0
23060,"S",3,121,55,0
23060,"W",1,121,20,0
23060,"W",2,121,26,0
23060,"W",3,121,23,0
23150,"N",1,207,280,1
23150,"N",2,108,330,1
23150,"N",3,108,350,1
23150,"N",4,121,180,1
23150,"N",5,108,310,1
23150,"N",6,108,330,1
23150,"N",7,108,300,1
23150,"N",8,207,325,3
23150,"N",9,108,450,1
23150,"N",10,108,240,1
23150,"E",1,108,450,2
23150,"E",2,108,660,2
23150,"E",3,207,220,1
23150,"E",4,108,360,1
23150,"E",5,108,160,1
23150,"E",6,207,490,3
23150,"S",1,108,360,3
23150,"S",2,207,220,1
23150,"S",3,207,210,1
23150,"W",1,207,270,1
23150,"W",2,207,160,1
23150,"W",3,108,280,1
23150,"W",4,235,510,2
23150,"W",5,207,130,1
23150,"W",6,108,60,0
23150,"W",7,235,200,1
23150,"W",8,108,320,1
23150,"W",9,108,270,1
23150,"W",10,207,110,0
23170,"N",1,207,180,1
23170,"N",2,108,390,1
23170,"N",3,108,430,1
23170,"N",4,108,510,2
23170,"N",5,108,390,1
23170,"N",6,108,520,1
23170,"N",7,108,520,2
23170,"N",8,108,260,1
23170,"E",1,108,530,1
23170,"E",2,207,140,1
23170,"S",1,207,60,0
23170,"S",2,207,130,1
23170,"S",3,207,260,1
23170,"S",4,108,150,1
23170,"S",5,108,350,1
23170,"S",6,108,550,2
23170,"S",7,108,340,1
23170,"S",8,108,340,1
23170,"S",9,207,90,0
23170,"S",10,108,500,1
23170,"W",1,108,450,3
23170,"W",2,207,130,1
23170,"W",3,207,90,0
23170,"W",4,207,140,1
23170,"W",5,108,370,1
23170,"W",6,211,450,1
25100,"N",1,207,160,1
25100,"N",2,104,120,0
25100,"E",1,108,50,0
25100,"E",2,104,90,0
25100,"E",3,104,130,1
25100,"E",4,104,140,1
25100,"E",5,104,120,0
25100,"S",1,104,450,3
25100,"S",2,104,150,1
25100,"W",1,207,380,2
25100,"W",2,104,320,2
25100,"W",3,207,180,1
25100,"W",4,207,120,0
25100,"W",5,207,140,1
25100,"W",6,207,140,1
25100,"W",7,207,160,1
25100,"W",8,207,200,1
25100,"W",9,207,170,1
25100,"W",10,207,90,0
25080,"N",1,207,70,0
25080,"N",2,207,90,0
25080,"N",3,207,50,0
25080,"N",4,207,60,0
25080,"N",5,207,105,0
25080,"N",6,207,80,0
25080,"N",7,207,70,0
25080,"N",8,207,100,0
25080,"N",9,207,110,0
25080,"N",10,107,500,1
25080,"E",1,207,85,0
25080,"E",2,207,65,0
25080,"E",3,107,120,0
25080,"E",4,107,100,0
25080,"E",5,207,145,1
25080,"E",6,107,360,1
25080,"E",7,207,70,0
25080,"E",8,107,280,1
25080,"E",9,207,90,0
25080,"E",10,107,290,1
25080,"S",1,207,120,0
25080,"S",2,207,160,1
25080,"S",3,207,50,0
25080,"S",4,107,450,1
25080,"S",5,107,310,1
25080,"S",6,107,200,1
25080,"S",7,107,390,1
25080,"S",8,207,145,1
25080,"S",9,207,60,0
25080,"S",10,207,220,1
25080,"W",1,207,50,0
25080,"W",2,207,40,0
25080,"W",3,207,50,0
25080,"W",4,207,170,1
25080,"W",5,107,240,1
25080,"W",6,207,70,0
25080,"W",7,207,40,0
25080,"W",8,207,45,0
25080,"W",9,111,90,0
25080,"W",10,121,80,0
33300,"N",1,104,160,1
33300,"N",2,NA,85,0
33300,"N",3,134,42,0
33300,"N",4,134,62,0
33300,"N",5,134,39,0
33300,"E",1,104,500,1
33300,"E",2,104,800,3
33300,"E",3,104,420,1
33300,"E",4,104,300,1
33300,"E",5,104,200,1
33300,"S",1,104,205,1
33300,"S",2,104,900,2
33300,"S",3,104,200,1
33300,"S",4,134,24,0
33300,"S",5,134,27,0
33300,"S",6,108,700,2
33300,"W",1,134,28,0
33300,"W",2,104,500,3
33300,"W",3,104,400,1
33300,"W",4,104,800,3
33300,"W",5,134,160,0
33300,"W",6,104,300,1
33300,"W",7,112,500,2
33300,"W",8,134,78,0
33300,"W",9,134,80,0
33300,"W",10,NA,260,1
33300,"N",1,104,250,1
33300,"N",2,104,105,0
33300,"N",3,104,85,0
33300,"N",4,NA,340,1
33300,"N",5,134,78,0
33300,"N",6,134,130,1
33300,"N",7,104,95,0
33300,"E",1,104,195,1
33300,"E",2,104,400,1
33300,"E",3,104,380,1
33300,"E",4,104,400,3
33300,"E",5,NA,100,0
33300,"E",6,104,75,0
33300,"E",7,134,105,0
33300,"E",8,104,250,1
33300,"S",1,111,26,0
33300,"S",2,111,20,0
33300,"S",3,104,700,2
33300,"S",4,111,21,0
33300,"S",5,104,250,1
33300,"S",6,NA,80,0
33300,"S",7,NA,300,1
33300,"S",8,104,60,0
33300,"S",9,104,82,0
33300,"S",10,104,84,0
33300,"W",1,134,135,1
33300,"W",2,112,700,2
33300,"W",3,117,27,0
28040,"N",1,104,1050,3
28040,"E",1,104,200,1
28040,"E",2,104,340,1
28040,"E",3,123,550,2
28040,"E",4,123,410,1
28040,"E",5,123,480,2
28040,"E",6,123,270,1
28040,"E",7,123,340,1
28040,"E",8,123,220,1
28040,"E",9,123,340,1
28040,"E",10,104,260,1
28040,"S",1,145,230,1
28040,"S",2,104,810,3
28040,"S",3,104,450,2
28040,"S",4,104,180,1
28040,"W",1,104,450,3
28040,"W",2,104,190,1
28040,"W",3,104,700,3
28040,"W",4,104,840,3
28040,"W",5,104,720,1
28040,"W",6,104,520,2
28040,"W",7,104,520,1
28040,"W",8,104,730,1
36041,"N",1,207,120,0
36041,"N",2,207,100,0
36041,"N",3,207,95,0
36041,"N",4,207,70,0
36041,"N",5,207,390,3
36041,"N",6,207,360,3
36041,"N",7,207,85,0
36041,"N",8,207,70,0
36041,"S",1,207,45,0
36041,"S",2,207,20,0
36041,"S",3,207,20,0
36041,"S",4,207,30,0
36041,"S",5,207,20,0
36041,"S",6,121,20,0
36041,"S",7,121,20,0
36041,"S",8,121,25,0
36041,"W",1,207,30,0
36041,"W",2,207,35,0
36041,"W",3,207,20,0
36041,"W",4,207,200,1
36041,"W",5,207,230,1
36041,"W",6,207,205,1
36041,"W",7,207,35,0
36041,"W",8,207,25,0
36041,"W",9,207,30,0
36041,"W",10,207,30,0
36010,"N",1,207,30,0
36010,"N",2,121,40,0
36010,"N",3,207,20,0
36010,"N",4,207,40,0
36010,"N",5,207,70,0
36010,"N",6,207,65,0
36010,"N",7,207,50,0
36010,"N",8,207,70,0
36010,"N",9,207,45,0
36010,"N",10,207,35,0
36010,"E",1,121,60,0
36010,"E",2,121,60,0
36010,"E",3,121,55,0
36010,"E",4,121,35,0
36010,"E",5,121,35,0
36010,"E",6,121,55,0
36010,"E",7,121,40,0
36010,"E",8,121,40,0
36010,"E",9,121,40,0
