"bfhnr","plot_re4","plot_ho4","plot_inventur","plot_huform","plot_bestyp","plot_bodtyp","tf_ot","tf_ut","tf_corg","tf_fbv","tf_trd","tf_sand","tf_schluff","tf_ton","tf_bodart","hori_bez","hori_nr","hori_ot","hori_ut"
30602,4333182,5745611,2,"AMO","Fi","SSm",0,5,"314,63","105,52","0,21",,,,"Hh","Aa",1,0,17
30602,4333182,5745611,2,"AMO","Fi","SSm",5,10,"171,26","111,25","0,22",,,,"Hh","Sew",2,17,40
30602,4333182,5745611,2,"AMO","Fi","SSm",10,30,"71,67","1621,34","0,85",,,,"Uls","Swd",3,40,110
30602,4333182,5745611,2,"AMO","Fi","SSm",30,60,"6,09","4471,04","1,6",,,,"Ls3",,,,
30602,4333182,5745611,2,"AMO","Fi","SSm",60,90,"3,9","2978,3","1,61",,,,"Ls3",,,,
30616,4404000,5863000,1,,"LW",,,,,,,,,,,,,,
30625,4385458,5847553,2,"MOF","Ki","KV-KM",5,10,"161,68","137,56","0,28",,,,"Hn","Hvm",1,0,45
30625,4385458,5847553,2,"MOF","Ki","KV-KM",10,30,"177,66","1080,75","0,54",,,,"Hn","Gor",2,45,75
30625,4385458,5847553,2,"MOF","Ki","KV-KM",30,60,,"3051,98","1,04",,,,"fSms","Gr",3,75,90
30625,4385458,5847553,2,"MOF","Ki","KV-KM",60,90,"33,53","4850,69","1,67",,,,"fSms",,,,
30634,4338828,5881536,2,"MRR","MW","GG-YU",0,5,"69,5","440,97","0,9",,,,"Su2","R",1,0,50
30634,4338828,5881536,2,"MRR","MW","GG-YU",5,10,"62,61","360,15","0,74",,,,"Su2","Go",2,50,70
30634,4338828,5881536,2,"MRR","MW","GG-YU",10,30,"63,08","1637,93","0,84",,,,"Su2","Go",3,70,110
30634,4338828,5881536,2,"MRR","MW","GG-YU",30,60,"16,88","5175,68","1,75",,,,"Su2","Gr",4,110,120
30634,4338828,5881536,2,"MRR","MW","GG-YU",60,90,"10,29",4035,"1,35",,,,"Su2",,,,
30635,4339163,5889531,2,"MOF","Ki","HN",0,5,"159,83","163,13","0,33",,,,"Hn","Hw",1,0,40
30635,4339163,5889531,2,"MOF","Ki","HN",5,10,"455,28","143,13","0,29",,,,"Hn","Go",2,40,75
30635,4339163,5889531,2,"MOF","Ki","HN",10,30,"354,09",600,"0,3",,,,"Hn","Go-r",3,75,100
30635,4339163,5889531,2,"MOF","Ki","HN",30,60,"61,46",3900,"1,3",,,,"Su2","Gr",4,100,101
30635,4339163,5889531,2,"MOF","Ki","HN",60,90,"8,2",3900,"1,3",,,,"Su2",,,,
30636,4339163,5889531,1,"MOF","Ki","HH",,,,,,,,,,,,,
30646,4172355,5825294,2,"MOR","LW","GH",0,5,"270,56","331,19","0,66",,,,"Hn","Hvm",1,0,27
30646,4172355,5825294,2,"MOR","LW","GH",5,10,"117,76","364,94","0,73",,,,"fSms","Aeh-Go",2,27,50
30646,4172355,5825294,2,"MOR","LW","GH",10,30,"56,72","2312,25","1,16",,,,"fSms","Bvh-Go",3,50,57
30646,4172355,5825294,2,"MOR","LW","GH",30,60,"16,95","4334,5","1,44",,,,"fSms","Go",4,57,70
30646,4172355,5825294,2,"MOR","LW","GH",60,90,"12,51",4912,"1,64",,,,"fSms","Gr",5,70,105
30646,,,2,,,,,,,,,,,,,"Go",6,105,110
30646,,,2,,,,,,,,,,,,,"Gr",7,110,200
30651,4291520,5899539,2,"MOF","LW","KV",0,5,"295,3","189,38","0,38",,,,"Hn","Hv",1,0,50
30651,4291520,5899539,2,"MOF","LW","KV",5,10,"297,19","243,13","0,49",,,,"Hn","Go",2,50,70
30651,4291520,5899539,2,"MOF","LW","KV",10,30,"459,52","562,5","0,28",,,,"Hn","Gor",3,70,90
30651,4291520,5899539,2,"MOF","LW","KV",30,60,"75,23",655,"0,22",,,,"Hn","Gr",4,90,120
30651,4291520,5899539,2,"MOF","LW","KV",60,90,"12,71",3940,"1,32",,,,"Su2",,,,
80112,4291619,5307737,2,"MUT","MW","KV",0,5,"61,6",290,"0,58",,,,"Lu","Aa",1,0,37
80112,4291619,5307737,2,"MUT","MW","KV",5,10,"54,9",275,"0,55",,,,"Lu","nHv",2,37,59
80112,4291619,5307737,2,"MUT","MW","KV",10,30,"40,7",1480,"0,74",,,,"Lu","nHw",3,59,110
80112,4291619,5307737,2,"MUT","MW","KV",30,60,"104,73",1650,"0,55",,,,"Ha",,,,
80112,4291619,5307737,2,"MUT","MW","KV",60,90,108,2400,"0,8",,,,"Hnle",,,,
80214,4259312,5300981,2,"MUT","LW","RR",0,5,43,"309,8","0,69",,,,"Lt2","Ah",1,0,14
80214,4259312,5300981,2,"MUT","LW","RR",5,10,"23,6",368,"0,92",,,,"Lt2","jlC",2,14,110
80214,4259312,5300981,2,"MUT","LW","RR",10,30,"4,6",2182,"1,23",,,,"Ts4",,,,
80214,4259312,5300981,2,"MUT","LW","RR",30,60,"2,1","4223,8","1,45",,,,"Ts4",,,,
80214,4259312,5300981,2,"MUT","LW","RR",60,90,"2,6","4321,8","1,47",,,,"Ts2",,,,
80223,4241278,5453921,2,"MUT","LW","KVn",0,5,320,115,"0,23",,,,"Ha","nHv",1,0,31
