"bund_nr","pk_nr","pk_aufnahme","pk_richtung","pk_dist","pk_maxdist","pk_anmerkung"
10027,2,2,"o",1000,-9,NA
10028,2,1,"o",1000,458,NA
10029,2,1,"o",1000,436,NA
10030,2,1,"o",1000,428,NA
10031,2,1,"o",1000,190,NA
10032,2,1,"o",1000,75,NA
10033,2,1,"o",1000,142,NA
10034,2,1,"o",1000,426,NA
10035,2,1,"o",1000,481,NA
10036,2,1,"o",1000,362,NA
10037,2,1,"o",1000,400,NA
10038,2,1,"o",1000,492,NA
10039,2,1,"o",1000,294,NA
10040,2,1,"o",1000,176,NA
10041,2,2,"o",1000,-9,NA
10042,2,1,"o",1000,436,NA
10043,2,1,"o",1000,410,NA
20001,2,-1,"o",1000,-9,NA
20002,2,-1,"o",1000,-9,NA
20003,2,-1,"o",1000,-9,NA
20004,2,-1,"o",1000,-9,NA
10001,3,2,"s",1000,-9,NA
10002,3,1,"s",1000,389,NA
10003,3,1,"s",1000,402,NA
10004,3,1,"s",1000,303,NA
10005,3,1,"s",1000,199,NA
10006,3,1,"s",1000,73,NA
10007,3,1,"s",1000,219,NA
10008,3,1,"s",1000,196,NA
10009,3,1,"s",1000,461,NA
10010,3,1,"s",1000,494,NA
10011,3,1,"s",1000,294,NA
10012,3,1,"s",1000,156,NA
10013,3,1,"s",1000,437,NA
10014,3,2,"s",1000,-9,NA
10015,3,1,"s",1000,276,NA
10016,3,1,"s",1000,144,NA
10017,3,1,"s",1000,486,NA
10018,3,1,"s",1000,251,NA
10019,3,1,"s",1000,456,NA
10020,3,1,"s",1000,173,NA
10021,3,1,"s",1000,429,NA
10022,3,1,"s",1000,86,NA
10023,3,1,"s",1000,378,NA
10024,3,1,"s",1000,479,NA
10025,3,1,"s",1000,174,NA
10026,3,1,"s",1000,485,NA
10027,3,1,"s",1000,398,NA
10028,3,1,"s",1000,393,NA
10029,3,1,"s",1000,258,NA
10030,3,1,"s",1000,400,NA
10031,3,1,"s",1000,110,NA
10032,3,1,"s",1000,497,NA
10033,3,1,"s",1000,422,NA
10034,3,1,"s",1000,451,NA
10035,3,1,"s",1000,463,NA
10036,3,1,"s",1000,372,NA
10037,3,1,"s",1000,413,NA
10038,3,1,"s",1000,498,NA
10039,3,1,"s",1000,404,NA
10040,3,1,"s",1000,68,NA
10041,3,2,"s",1000,-9,NA
10042,3,1,"s",1000,482,NA
10043,3,1,"s",1000,365,NA
20001,3,-1,"s",1000,-9,NA
20002,3,-1,"s",1000,-9,NA
20003,3,-1,"s",1000,-9,NA
20004,3,-1,"s",1000,-9,NA
10001,4,2,"w",1000,-9,NA
10002,4,1,"w",1000,381,NA
10003,4,1,"w",1000,468,NA
10004,4,1,"w",1000,423,NA
10005,4,1,"w",1000,215,NA
10006,4,1,"w",1000,91,NA
10007,4,1,"w",1000,223,NA
10008,4,1,"w",1000,306,NA
10009,4,1,"w",1000,465,NA
10010,4,1,"w",1000,427,NA
10011,4,1,"w",1000,468,NA
10012,4,1,"w",1000,478,NA
10013,4,1,"w",1000,496,NA
10014,4,2,"w",1000,-9,NA
