"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb"
30028,3028,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","-9","BB-LL","LL","L","p1","+140","-1/-1/-1/-1/-1"
30029,3029,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT","2","BB-RN","RN","R","p4","+85",NA
30031,3031,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT","2","BB","BB","B","p3","+110",NA
30032,3032,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","2","BB","BB","B","p3","+90",NA
30033,3033,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT","-9","BB-RN","RN","R","p1","+95","-1/-1/-1/-1/-1"
30034,3034,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROA","RO","3","PP","PP","P","-9","+85",NA
30036,3036,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","BB","BB","B","p3","+90","-1/-1/-1/-1/-1"
30037,3037,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT","-9","BB","BB","B","p4","+90","-1/-1/-1/-1/-1"
30039,3039,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOF","MOF","-9","YK-GG","GG","G","p1","+115","-1/-1/-1/-1/-1"
30040,3040,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT","-9","BB","BB","B","p3","+120","-1/-1/-1/-1/-1"
30042,3042,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","2","BB","BB","B","p1","+150",NA
30044,3044,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT","-9","BB","BB","B","p3","+100","-1/-1/-1/-1/-1"
30051,3051,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU","-9","LL","LL","L","p1","+130","-1/-1/-1/-1/-1"
30053,3053,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","LL-BB","BB","B","p2","+140","-1/-1/-1/-1/-1"
30055,3055,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","2","LL-BB","BB","B","p1","+120",NA
