"bfhnr","inventur","tiefenstufe","ot","ut","m_trd_fbv2","m_ea_corg2","m_ea_cco32","m_ea_cges2","m_ea_n2","m_ak_ca2","m_ak_k2","m_ak_mg2","m_ak_na2","m_ak_al2","m_ak_mn2","m_ak_h2","m_ak_fe2","m_ak_ak2","m_ak_bs2","m_as_p2","m_as_ca2","m_as_k2","m_as_mg2","m_as_mn2","m_as_na2","m_as_al2","m_as_fe2","m_as_s2","m_ph_h2o2","m_ph_k2","m_ph_ca2","m_cn2","m_cp2"
90730,2,"60 - 90",60,90,2711.456,2.77751734751183,32.2979194791191,35.0754368266309,0.437793341854758,141.661634808964,3.43938736503489,13.9053309312209,0.665431430451139,NA,NA,NA,NA,159.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52821712747112,7.86354237241861,7.75841527759682,6.34,NA
50090,2,"60 - 90",60,90,960,11,0,10.88,0.81,0.2,0.71,0.59,0.2,28.3,1.05,0.1,0.1,31.25,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.2,4.3,13.58,NA
50119,2,"60 - 90",60,90,1950,4,0.513189448441247,3.66,0.1,141.11,0.62,34.55,0.48,0.97,0.23,0.1,0.1,176.76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6.3,6.7,40,NA
90523,2,"30 - 60",30,60,5611.336,1.63559546219784,0.166666666666667,1.80226212886451,0.136902959017163,3.03966169208929,1.2448480930082,1.9979517448295,0.579835606516201,31.936672277897,0.528288043623489,1.60785120704271,0.104710090317639,41.04,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50749221406765,3.46439149679484,3.72047452708864,11.95,NA
10001,2,"0 - 5",0,5,451.341,78.8,0,78.8,3.66,41.75,2.205,5.94,0.65,10.6398734177215,1.73,22.1,1.695,86.71,0.58,0.549,1.716,0.702,0.442,0.127,0.167,3.359,5.421,0.908,4.15,3.11,3.35,21.53,143.53
10001,2,"5 - 10",5,10,521.935,31,0,31,1.58,13.75,0.99,2.04,0.45,12.8056962025316,0.4355,12.1,1.485,44.06,0.39,0.258,0.613,0.516,0.31,0.038,0.106,3.196,3.965,0.211,4.12,3.1,3.33,19.62,120.16
10001,2,"10 - 30",10,30,2900.856,21,0,21,0.88,5.825,0.6385,0.7895,0.366666666666666,22.1797468354431,0.361,6.43,1.265,37.86,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28,3.49,3.6,23.86,NA
10001,2,"30 - 60",30,60,4622.193,6.56,0,6.56,0.38,0.955,0.3785,0.1025,0.366666666666666,12.856329113924,0.1,0.378,0.15,15.29,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84,4.33,4.36,17.26,NA
10001,2,"60 - 90",60,90,4461.6,1.81,0,1.81,NA,0.4,0.161833333333333,0.1025,0.366666666666666,6.77658227848102,0.1,0.382,0.2,8.49,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.94,4.52,4.51,NA,NA
10002,2,"0 - 5",0,5,614.192,9.9,1.8,11.7,0.52,61.5,0.0666666666666667,1,0.05,NA,NA,NA,NA,62.62,1,0.285,5.506,0.892,1.055,0.231,0.107,3.582,7.595,0.101,6.9,6.55,6.31,19.04,34.74
10002,2,"5 - 10",5,10,653.3265,4.46,3.43,7.89,0.25,46.1,0.0666666666666667,0.025,0.05,NA,NA,NA,NA,46.24,1,0.285,8.772,0.894,1.112,0.253,0.095,3.674,7.68,0.0715,7.64,7.41,6.86,17.84,15.65
10002,2,"10 - 30",10,30,2501.76,2.76,3.42,6.18,0.2,39.6,0.0666666666666667,0.025,0.05,NA,NA,NA,NA,39.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.06,7.87,7.29,13.8,NA
10002,2,"30 - 60",30,60,4915.5,1.97,8.93,10.9,0.14,32.2,0.0666666666666667,1,0.05,NA,NA,NA,NA,33.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,8.2,7.67,14.07,NA
10002,2,"60 - 90",60,90,5045.7,2.3,14,16.3,NA,34.9,1.2,1.4,0.05,NA,NA,NA,NA,37.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38,8.27,7.73,NA,NA
10003,2,"0 - 5",0,5,685.05,43.8,0,43.8,1.27,5.195,1.1,1.315,0.5,34.4512658227848,0.1,22.6,2.4,67.66,0.12,0.103,0.422,0.735,0.413,0.0273,0.119,4.424,3.041,0.23,3.69,2.76,2.95,34.49,425.24
10003,2,"5 - 10",5,10,720.8685,27.2,0,27.2,0.86,1.295,0.7315,1.71,0.5,48.4797468354431,0.05025,17.8,5.685,76.25,0.06,0.0791,0.436,0.705,0.525,0.0306,0.11,5.254,6.019,0.128,3.77,2.97,3.18,31.63,343.87
10003,2,"10 - 30",10,30,2772.172,11.6,0,11.6,0.4,0.4295,0.4495,0.1425,0.45,40.273417721519,0.1,2.25,1.655,45.75,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,3.73,3.84,29,NA
10003,2,"30 - 60",30,60,4282.59,2.82,0,2.82,0.2,0.25,0.7505,0.746,0.45,34.8360759493671,0.1515,0.193,0.25,37.63,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.12,4.12,14.1,NA
10003,2,"60 - 90",60,90,4261.092,1.22,0,1.22,NA,1.15,1.73,1.715,5.35,63.8544303797469,0.1,1.57,0.25,75.72,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,3.65,3.81,NA,NA
10004,2,"0 - 5",0,5,515.394,52.5,0,52.5,3.33,13.2,3.215,4.825,1.565,47.7632911392405,1.185,13.3,4.66,89.71,0.25,0.433,0.839,1.881,1.642,0.134,0.145,8.958,11.156,0.363,4.04,3.28,3.44,15.77,121.25
