"bund_nr","lfd_nr","zwiesel","bart","alter","alter_methode","d_mess","bhd_hoehe","hoehe","kransatz","azi","hori","kraft","schi"
"34010_1",7,NA,"GFI",41,1,259,130,174,101,28,920,"1",1
"34010_1",8,NA,"GFI",41,1,175,130,142,103,34,720,"2",1
"34010_1",9,NA,"GFI",41,1,121,130,129,94,43,990,"3",1
"34010_1",10,NA,"GFI",41,1,78,130,81,70,44,440,"4",1
"34010_1",11,NA,"GFI",41,1,83,130,86,77,44.5,1140,"4",1
"34010_1",12,NA,"GFI",41,1,278,130,177,112,66,260,"2",1
"34010_1",13,NA,"GFI",41,1,195,130,157,80,66,990,"2",1
"34010_1",14,NA,"GFI",41,1,205,130,143,94,69,1240,"2",1
"34010_1",15,NA,"GFI",41,1,314,130,198,109,79,750,"1",1
"34010_1",16,NA,"GFI",41,1,161,130,141,105,82,940,"3",1
"34010_1",17,NA,"GFI",41,1,122,130,93,81,92,1050,"4",1
"34010_1",18,NA,"GFI",41,1,99,130,92,63,93,1250,"4",1
"34010_1",19,NA,"GFI",41,1,135,130,114,96,97,670,"4",1
"34010_1",20,NA,"GFI",41,1,214,130,171,112,98,590,"2",1
"34010_1",21,NA,"GFI",41,1,266,130,175,111,101,850,"1",1
"34010_1",22,NA,"GFI",41,1,190,130,112,91,119,980,"3",1
"34010_1",23,NA,"GFI",41,1,89,130,70,48,119,1080,"4",1
"34010_1",24,NA,"GFI",41,1,114,130,108,62,131,1040,"4",1
"34010_1",25,NA,"GFI",41,1,224,130,160,94,138.5,820,"2",1
"34010_1",26,NA,"GFI",41,1,217,130,175,89,140.5,650,"2",1
"34010_1",27,NA,"GFI",41,1,238,130,171,86,160,430,"2",1
"34010_1",28,NA,"GFI",41,1,201,130,136,105,228,650,"3",1
"34010_1",29,NA,"GFI",41,1,211,130,184,100,258,230,"2",1
"34010_1",30,NA,"GFI",41,1,183,130,124,81,267,1040,"3",1
"34010_1",31,NA,"GFI",41,1,194,130,120,108,283,1120,"3",1
"34010_1",32,NA,"GFI",48,2,263,130,193,96,295,350,"2",1
"34010_1",33,NA,"GFI",41,1,335,130,207,101,295,820,"1",1
"34010_1",34,NA,"GFI",41,1,136,130,116,95,305,1200,"4",1
"34010_1",35,NA,"GFI",41,1,282,130,191,120,330,1000,"1",1
"34010_1",36,NA,"GFI",41,1,219,130,123,99,349,1150,"3",1
"34010_1",37,NA,"GFI",41,1,100,130,108,84,360,1200,"4",1
"34010_1",38,NA,"GFI",47,2,217,130,158,114,365,1190,"2",1
"34010_1",39,NA,"GFI",41,1,141,130,133,92,366,1030,"3",1
"34010_1",40,NA,"GFI",41,1,169,130,123,110,367,270,"3",1
"34010_1",41,NA,"GFI",41,1,113,130,92,78,367,880,"4",1
"34010_1",42,NA,"GFI",41,1,76,130,74,65,370,900,"4",1
"34010_1",43,NA,"GFI",41,1,194,130,174,122,378,140,"2",1
"34010_1",44,NA,"GFI",50,2,235,130,180,119,378,740,"2",1
"34010_2",1,NA,"GFI",41,1,160,130,128,87,1.5,490,"3",1
"34010_2",2,NA,"GFI",41,1,254,130,169,73,60,460,"2",1
"34010_2",3,NA,"GFI",41,1,129,130,105,92,92,770,"4",1
"34010_2",4,NA,"GFI",41,1,106,130,74,59,97,1240,"4",1
"34010_2",5,NA,"GFI",41,1,102,130,89,81,99,1090,"4",1
"34010_2",6,NA,"GFI",41,1,82,130,60,44,100,1170,"4",1
"34010_2",7,NA,"GFI",41,1,173,130,142,98,101,1060,"3",1
"34010_2",8,NA,"GFI",41,1,160.8,130,124,100,103,670,"3",1
"34010_2",9,NA,"GFI",41,1,143,130,116,103,116,960,"3",1
"34010_2",10,NA,"GFI",41,1,86,130,85,72,116,1140,"4",1
"34010_2",11,NA,"GFI",41,1,115,130,107,96,117,1190,"4",1
"34010_2",12,NA,"GFI",41,1,81,130,83,73,124,1260,"4",1
"34010_2",13,NA,"GFI",41,2,201,130,155,91,131,1060,"2",1
