"MoMoK_Nr","Spalte1","Bundeland","Datum","Nr_VJ_PK","Lage","Distanz MB [cm]","pk_maxdist [cm]","LfdNr","Baumart (Code)","Baumart","Hoehe [cm]","grklasse"
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"S","Süd",1000,290,2,121,"VBE",20,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"W","West",1000,350,1,121,"VBE",37,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"S","Süd",800,445,1,104,"SER",52,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"S","Süd",800,445,2,104,"SER",59,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"N","Nord",800,409,1,104,"SER",47,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"N","Nord",800,409,2,104,"SER",77,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"N","Nord",800,409,3,104,"SER",70,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"N","Nord",800,409,4,104,"SER",160,1
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"N","Nord",800,409,5,NA,"SHO",126,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"E","Ost",800,489,1,104,"SER",51,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"E","Ost",800,489,2,104,"SER",22,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"E","Ost",800,489,3,104,"SER",95,0
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"E","Ost",800,489,4,104,"SER",180,1
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"E","Ost",800,489,5,104,"SER",310,1
32010,"Buxpfuhl/Melchow","BB",2022-04-20,"W","West",800,125,1,104,"SER",102,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"N","Nord",1000,389,1,108,"MBI",430,2
32050,"Stromtrasse/Spechti","BB",2022-05-05,"N","Nord",1000,389,2,108,"MBI",460,3
32050,"Stromtrasse/Spechti","BB",2022-05-05,"N","Nord",1000,389,3,108,"MBI",160,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"N","Nord",1000,389,4,108,"MBI",156,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"N","Nord",1000,389,5,108,"MBI",225,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"N","Nord",1000,389,6,108,"MBI",480,2
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,1,108,"MBI",230,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,2,108,"MBI",430,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,3,108,"MBI",230,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,4,108,"MBI",315,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,5,108,"MBI",188,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,6,108,"MBI",315,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,7,108,"MBI",350,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,8,108,"MBI",185,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,9,108,"MBI",380,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"E","Ost",1000,320,10,108,"MBI",670,3
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,1,108,"MBI",375,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,2,108,"MBI",330,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,3,108,"MBI",420,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,4,108,"MBI",500,2
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,5,108,"MBI",250,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,6,108,"MBI",740,3
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,7,108,"MBI",730,3
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,8,108,"MBI",138,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,9,108,"MBI",305,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"S","Süd",1000,461,10,108,"MBI",290,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,1,108,"MBI",67,0
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,2,108,"MBI",185,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,3,108,"MBI",220,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,4,108,"MBI",115,0
