"MoMoK_Nr","Name","Bundeland","Datum_Aufnahme","Nr_PK","BNr","ZW","St","Baumart (Code)","Baumart","Schi","Kraft","Alt","Alt-Meth","BHD [mm]","BHD Hoehe [cm]","Permanent-Maßband","Punktdendrometer","BHD Stufen","Hoehe [dm]","Kronenansatz [dm]","Distanz [cm]","Azimut [Gon]","Azimut [°]","Bemerkung"
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",2,NA,0,207,"GFI",1,"2","50",2,233,130,0,0,4,175,117,520,"5",4.5,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",3,NA,0,207,"GFI",1,"2","41",1,206,130,0,0,4,160,119,310,"15",13.5,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",4,NA,0,207,"GFI",1,"2","41",1,228,130,0,0,4,179,115,530,"20",18,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",5,NA,0,207,"GFI",1,"3","41",1,142,130,0,0,2,132,91,680,"22",19.8,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",6,NA,0,207,"GFI",1,"4","41",1,121,130,0,0,2,107,77,1210,"27",24.3,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",7,NA,0,207,"GFI",1,"1","41",1,259,130,0,0,5,174,101,920,"28",25.2,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",8,NA,0,207,"GFI",1,"2","41",1,175,130,0,0,3,142,103,720,"34",30.6,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",9,NA,0,207,"GFI",1,"3","41",1,121,130,0,0,2,129,94,990,"43",38.7,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",10,NA,0,207,"GFI",1,"4","41",1,78,130,0,0,1,81,70,440,"44",39.6,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",11,NA,0,207,"GFI",1,"4","41",1,83,130,0,0,1,86,77,1140,"44.5",40.05,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",12,NA,0,207,"GFI",1,"2","41",1,278,130,0,0,5,177,112,260,"66",59.4,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",13,NA,0,207,"GFI",1,"2","41",1,195,130,0,0,3,157,80,990,"66",59.4,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",14,NA,0,207,"GFI",1,"2","41",1,205,130,0,0,4,143,94,1240,"69",62.1,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",15,NA,0,207,"GFI",1,"1","41",1,314,130,0,0,6,198,109,750,"79",71.1,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",16,NA,0,207,"GFI",1,"3","41",1,161,130,0,0,3,141,105,940,"82",73.8,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",17,NA,0,207,"GFI",1,"4","41",1,122,130,0,0,2,93,81,1050,"92",82.8,"KB"
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",18,NA,0,207,"GFI",1,"4","41",1,99,130,0,0,1,92,63,1250,"93",83.7,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",19,NA,0,207,"GFI",1,"4","41",1,135,130,0,0,2,114,96,670,"97",87.3,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",20,NA,0,207,"GFI",1,"2","41",1,214,130,0,0,4,171,112,590,"98",88.2,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",21,NA,0,207,"GFI",1,"1","41",1,266,130,0,0,5,175,111,850,"101",90.9,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",22,NA,0,207,"GFI",1,"3","41",1,190,130,0,0,3,112,91,980,"119",107.1,"KB"
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",23,NA,0,207,"GFI",1,"4","41",1,89,130,0,0,1,70,48,1080,"119",107.1,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",24,NA,0,207,"GFI",1,"4","41",1,114,130,0,0,2,108,62,1040,"131",117.9,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",25,NA,0,207,"GFI",1,"2","41",1,224,130,0,0,4,160,94,820,"138.5",124.65,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",26,NA,0,207,"GFI",1,"2","41",1,217,130,0,0,4,175,89,650,"140.5",126.45,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",27,NA,0,207,"GFI",1,"2","41",1,238,130,0,0,4,171,86,430,"160",144,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",28,NA,0,207,"GFI",1,"3","41",1,201,130,0,0,4,136,105,650,"228",205.2,"KB"
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",29,NA,0,207,"GFI",1,"2","41",1,211,130,0,0,4,184,100,230,"258",232.2,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",30,NA,0,207,"GFI",1,"3","41",1,183,130,0,0,3,124,81,1040,"267",240.3,"KBA"
