"bund_nr","lfd_nr","typ","baumgruppe","durchmesser","laenge","zersetzung","anzahl"
34010,72,1,2,"11",10,3,-9
34010,73,1,2,"12.5",75,5,-9
34010,74,1,2,"11",51,5,-9
34010,75,1,2,"17",49,4,-9
34010,76,1,2,"9",46,3,-9
34010,77,1,2,"8",76,1,-9
34010,78,1,2,"8.5",113,2,-9
34010,79,1,2,"11.5",38,4,-9
34010,80,1,2,"15",30,3,-9
34010,81,1,2,"16",39,4,-9
34010,82,1,2,"13",15,4,-9
34010,83,1,2,"8",36,2,-9
34010,84,1,2,"8",61,2,-9
34010,85,1,2,"12",43,4,-9
34010,86,1,2,"9",57,3,-9
34010,87,1,2,"16.5",25,3,-9
34010,88,1,2,"11",13,4,-9
34010,89,1,2,"8.5",34,2,-9
34010,90,1,2,"7.5",71,2,-9
34010,91,1,2,"8",46,5,-9
34010,92,1,2,"14",53,4,-9
34010,93,5,2,"16.5",151,2,-9
34010,94,5,2,"22.5",134,1,-9
34010,1,2,2,"11",75,2,-9
34010,2,2,2,"22",141,1,-9
34010,3,2,2,"20.5",164,1,-9
34010,4,2,1,"12.5",107,2,-9
34010,5,2,2,"12",95,2,-9
34010,6,3,2,"17",46,2,-9
34010,7,3,2,"12",57,2,-9
34010,8,3,2,"11",58,2,-9
34010,9,3,2,"10",34,3,-9
34010,10,3,2,"18",81,1,-9
34010,11,3,2,"10",58,2,-9
34010,12,4,2,"20.5",2.6,4,-9
34010,13,4,2,"20",2.7,3,-9
34010,14,4,2,"21",2.3,4,-9
34010,15,4,2,"29.5",2.7,4,-9
34010,16,4,2,"24",2.6,1,-9
34010,17,4,2,"24",2.3,4,-9
34010,18,4,2,"46",3,2,-9
34010,19,4,2,"25",2.5,2,-9
34010,20,4,2,"23",2,2,-9
34010,21,4,2,"10.5",2.1,1,-9
34010,22,4,2,"15",2.2,3,-9
34010,23,4,2,"26.5",2,4,-9
34010,24,4,2,"27.5",2.9,5,-9
34010,25,4,2,"20",2.3,4,-9
34010,26,4,2,"14",2,3,-9
