"id","kurz","lang","region","gueltig_ab","gueltig_bis"
-9,"fehlt","Merkmal vergessen, nicht rekonstruierbar oder unbekannt",-2,1984-01-01,NA
-2,"nicht ausgeprägt","Merkmal nicht ausgeprägt/nicht vorhanden",-2,1984-01-01,1987-01-01
-1,"nicht erhoben","Merkmal nicht erhoben",-2,1984-01-01,1987-01-01
1,"SH","Schleswig-Holstein",1,1984-01-01,NA
2,"HH","Hansestadt Hamburg",1,1984-01-01,NA
3,"NI","Niedersachsen",1,1984-01-01,NA
4,"HB","Hansestadt Bremen",1,1984-01-01,NA
5,"NW","Nordrhein-Westfalen",2,1984-01-01,NA
6,"HE","Hessen",2,1984-01-01,NA
7,"RP","Rheinland-Pfalz",2,1984-01-01,NA
8,"BW","Baden-Württemberg",3,1984-01-01,NA
9,"BY","Bayern",3,1984-01-01,NA
10,"SL","Saarland",2,1984-01-01,NA
11,"BE","Berlin",2,1984-01-01,NA
12,"BB","Brandenburg",2,1984-01-01,NA
13,"MV","Mecklenburg-Vorpommern",1,1984-01-01,NA
14,"SN","Sachsen",2,1984-01-01,NA
15,"ST","Sachsen-Anhalt",2,1984-01-01,NA
16,"TH","Thüringen",2,1984-01-01,NA
20,"TD","Testdaten",-2,1984-01-01,1987-01-01
