"bund_nr","pk_nr","lfd_nr","bart","hoehe","grklasse"
120009,2,11,"-9",-9,-9
120056,1,3,"-9",-9,-9
120027,1,1,"-9",-9,-9
130070,1,1,"-9",-9,-9
100044,1,1,"tei",10,0
100044,1,2,"tei",10,0
100044,1,3,"tei",10,0
100044,1,4,"tei",10,0
100044,1,5,"tei",10,0
100044,1,6,"tei",10,0
100044,1,7,"tei",10,0
100044,1,8,"tei",10,0
100044,1,9,"tei",10,0
100044,1,10,"tei",10,0
100044,2,1,"tei",10,0
100044,2,2,"tei",10,0
100044,2,3,"tei",10,0
100044,2,4,"tei",10,0
100044,2,5,"tei",10,0
100044,2,6,"tei",10,0
100044,2,7,"tei",10,0
100044,2,8,"tei",10,0
100044,2,9,"tei",10,0
100044,2,10,"tei",10,0
100044,3,1,"tei",10,0
100044,3,2,"tei",10,0
100044,3,3,"tei",10,0
100044,3,4,"tei",10,0
100044,3,5,"tei",10,0
100044,3,6,"tei",10,0
100044,4,2,"tei",20,0
100044,4,3,"tei",10,0
100044,4,4,"tei",10,0
100044,4,5,"tei",10,0
100044,4,6,"tei",10,0
100044,4,7,"tei",10,0
100044,4,8,"tei",10,0
100045,2,1,"kir",10,0
100045,2,2,"kir",10,0
100045,2,3,"rbu",10,0
100045,2,4,"rbu",10,0
100045,2,5,"rbu",10,0
100045,2,6,"rbu",10,0
100045,2,7,"kir",20,0
100045,2,8,"kir",20,0
100045,2,9,"kir",10,0
100045,2,10,"rbu",10,0
100045,4,3,"kir",10,0
100045,4,4,"kir",10,0
100045,4,5,"rbu",10,0
100045,4,6,"kir",10,0
100045,4,7,"kir",10,0
100045,4,8,"kir",10,0
100045,4,9,"kir",10,0
100045,4,10,"kir",10,0
100045,1,6,"kir",10,0
100045,1,7,"kir",10,0
100045,1,8,"kir",10,0
100045,1,9,"kir",10,0
100045,1,10,"kir",10,0
100045,3,3,"kir",10,0
100045,3,4,"kir",10,0
100045,3,5,"kir",10,0
100045,3,6,"kir",10,0
100045,3,7,"kir",10,0
100045,3,8,"kir",10,0
100045,3,9,"kir",10,0
100045,3,10,"kir",20,0
100080,3,1,"-9",-9,-9
10043,1,1,"rbu",30,0
10043,1,2,"rbu",20,0
10043,1,3,"rbu",20,0
10043,1,4,"rbu",20,0
10043,1,5,"rbu",50,0
10043,1,6,"rbu",30,0
10043,1,7,"rbu",20,0
10043,2,1,"rbu",20,0
10043,2,2,"rbu",20,0
10043,2,3,"rbu",20,0
10043,2,4,"rbu",20,0
10043,2,5,"rbu",20,0
10043,2,6,"rbu",30,0
10043,2,7,"rbu",30,0
10043,2,8,"rbu",20,0
10043,2,9,"rbu",20,0
10043,2,10,"rbu",20,0
10043,3,1,"rbu",20,0
10043,3,2,"rbu",20,0
10043,3,3,"rbu",20,0
10043,3,4,"rbu",20,0
10043,3,5,"rbu",20,0
10043,3,6,"rbu",20,0
10043,3,7,"rbu",20,0
10043,4,1,"rbu",20,0
10043,4,2,"rbu",20,0
10001,1,1,"rbu",650,2
10001,1,2,"rbu",620,1
10001,2,1,"rbu",410,1
10001,2,2,"rbu",430,2
10001,2,3,"rbu",510,1
10001,2,4,"rbu",870,3
10002,1,1,"sbi",850,2
10002,1,2,"sbi",420,1
10002,1,3,"sbi",260,1
10002,1,4,"sbi",290,1
10002,1,5,"sbi",360,1
10002,1,6,"swe",70,0
10002,1,7,"swe",130,1
10002,1,8,"sei",80,0
10002,1,9,"sei",60,0
10002,1,10,"swe",150,1
10002,2,1,"sbi",190,1
10002,2,2,"sbi",340,1
10002,2,3,"gfi",90,0
10002,2,4,"jla",260,1
10002,2,5,"sei",190,1
10002,2,6,"sei",100,0
10002,2,7,"sei",90,0
10002,2,8,"sbi",150,1
10002,2,9,"vbe",110,0
10002,2,10,"sbi",150,1
10002,3,1,"sei",140,1
10002,3,2,"sei",110,0
10002,3,3,"sei",50,0
10002,3,4,"sei",340,1
10002,3,5,"fah",60,0
10002,3,6,"stk",190,1
10002,3,7,"sbi",740,3
10002,3,8,"sei",100,0
10002,3,9,"gfi",40,0
10002,3,10,"as",210,1
10002,4,1,"sei",110,0
10002,4,2,"sei",530,1
10002,4,3,"sei",320,1
10002,4,4,"as",90,0
10002,4,5,"as",900,1
10002,4,6,"as",1050,2
10002,4,7,"as",50,0
10002,4,8,"as",40,0
10002,4,9,"as",100,0
10002,4,10,"as",520,1
10005,1,1,"mbi",50,0
10005,1,2,"mbi",80,0
10005,1,3,"mbi",50,0
10005,1,4,"mbi",70,0
10005,1,5,"mbi",60,0
10005,1,6,"mbi",90,0
10005,1,7,"mbi",120,0
10005,1,8,"sbi",990,2
10005,1,9,"sbi",1070,3
10005,1,10,"sbi",650,1
10005,2,1,"mbi",470,1
10005,2,2,"mbi",660,1
10005,2,3,"sfi",480,1
