"bund_nr","ld","ld_bze","ld_wze","bwi_tnr","bwi_eck","eu_wze","srid_ist","istre","istho","raster_8x8","raster_16x16","raster","hoehenn"
100008,-9,-9,5282,NA,NA,-9,31468,4117274,5495178,FALSE,FALSE,"-9",240
100009,-9,100009,5286,NA,NA,650,31468,4117574,5499160,FALSE,TRUE,"-9",310
100010,-9,100010,5454,NA,NA,-9,31468,4117079,5467055,FALSE,FALSE,"-9",255
100011,-9,100011,5470,NA,NA,-9,31468,4118323,5483041,FALSE,FALSE,"-9",220
100012,-9,-9,5474,NA,NA,-9,31468,4118643,5487038,FALSE,FALSE,"-9",220
100013,-9,100013,5650,NA,NA,-9,31468,4118745,5462920,FALSE,FALSE,"-9",275
100014,-9,100014,5654,NA,NA,-9,31468,4119047,5466893,FALSE,FALSE,"-9",220
100015,-9,100015,5658,NA,NA,-9,31468,4119121,5470822,FALSE,FALSE,"-9",269
100016,-9,100016,5674,NA,NA,-9,31468,4120635,5486862,FALSE,FALSE,"-9",345
100017,-9,100017,5850,NA,NA,-9,31468,4120728,5462730,FALSE,FALSE,"-9",270
100018,-9,100018,5886,NA,NA,-9,31468,4123609,5498683,FALSE,FALSE,"-9",295
100019,-9,-9,5894,NA,NA,-9,31468,4124223,5506669,FALSE,FALSE,"-9",590
100020,-9,100020,6050,NA,NA,-9,31468,4122841,5462635,FALSE,FALSE,"-9",240
100021,-9,100021,6074,NA,NA,-9,31468,4124622,5486488,FALSE,FALSE,"-9",310
100022,-9,100022,6094,NA,NA,-9,31468,4126199,5506587,TRUE,FALSE,"-9",475
100023,-9,-9,6250,NA,NA,-9,31468,4124722,5462427,FALSE,FALSE,"-9",235
100024,-9,-9,6254,NA,NA,-9,31468,4125046,5466413,FALSE,FALSE,"-9",240
100025,-9,100025,6270,NA,NA,-9,31468,4126322,5482376,FALSE,FALSE,"-9",260
100026,-9,-9,6290,NA,NA,-9,31468,4127845,5502369,FALSE,FALSE,"-9",310
100027,-9,-9,6294,NA,NA,-9,31468,4128194,5506341,FALSE,FALSE,"-9",430
100028,-9,100028,6482,NA,NA,-9,31468,4129274,5494217,FALSE,FALSE,"-9",340
100029,-9,100029,6486,NA,NA,-9,31468,4129607,5498246,FALSE,FALSE,"-9",340
100030,-9,-9,6654,NA,NA,-9,31468,4129027,5466088,FALSE,FALSE,"-9",225
