"id","kurz","lang","icode","genus","species","ba_bwi","laub_nadel","gueltig_ab","gueltig_bis"
"are","ArE","Armenische Eiche",391,"quercus","pontica","ei","lb",2020-01-01,NA
"eah","EAh","Eschen-Ahorn / Eschenblättriger Ahorn",392,"acer","negundo","ah","lb",2021-01-01,NA
"sca","ScA","Schneeball-Ahorn / Schneeballblättriger Ahorn",393,"acer","obtusatum","ah","lb",2021-01-01,NA
"sia","SiA","Silber-Ahorn",394,"acer","saccharinum","ah","lb",2021-01-01,NA
"tsa","TSA","Tatarische Steppen-Ahorn",395,"acer","tataricum","ah","lb",2021-01-01,NA
"göb","GöB","Götterbaum",396,"ailanthus","altissima","slb","lb",2021-01-01,NA
"pmb","PMB"," Papiermaulbeerbaum",398,"broussonetia","papyrifera","slb","lb",2021-01-01,NA
"shi","SHi","Schindelborkige Hickorynuss / Schuppenrinden-Hickorynus",399,"carya","ovata","slb","lb",2021-01-01,NA
"bha","BHa","Baum-Hasel, auch Tärkische Hasel",400,"corylus","colurna","slb","lb",2021-01-01,NA
"zgw","ZgW"," Zweigriffelige Weißdorn",401,"crataegus","laevigata","slb","lb",2021-01-01,NA
"agr","AGR","Alpen-Goldregen",403,"laburnum","alpinum","slb","lb",2021-01-01,NA
"ggr","GGR","Gewöhnlicher Goldregen",404,"laburnum","anagyroides","slb","lb",2021-01-01,NA
"bgb","BGB","Blauglockenbaum",406,"paulownia","tomentosa","slb","lb",2021-01-01,NA
"pet","PET","Petterie",407,"petteria","ramentacea","slb","lb",2021-01-01,NA
"bst","BSt","Breitblättrige Steinlinde",408,"phillyrea","media","slb","lb",2021-01-01,NA
"ruk","RuK","Rumelische Kiefer, Mazedonische Kiefer oder Balkankiefe",409,"pinus","peuce","ki","nb",2021-01-01,NA
"täk","TäK","Tränenkiefer",410,"pinus","wallichiana","ki","nb",2021-01-01,NA
"apl","APl","Ahornblättrige Platane/Bastard-Platane, Gewöhnliche Pla",411,"platanus","x acerifolia","slb","lb",2021-01-01,NA
"ksp","KSP","Kanadische Schwarz-Pappel oder Rosenkranz-Pappel",412,"populus","deltoides","pa","lb",2021-01-01,NA
"lok","LoK","Lorbeerkirsche/Pontische Lorbeer-Kirsche und Kirschlorb",413,"prunus","laurocerasus","kir","lb",2021-01-01,NA
"stw","StW","Steinweichsel, Felsen-oder Weichselkirsche",414,"prunus","mahaleb","kir","lb",2021-01-01,NA
"scd","ScD","Schlehdorn, Schwarzdorn",415,"prunus","sppinosa","kir","lb",2021-01-01,NA
"gbe","GbE","Gestieltblätige Eiche",416,"quercus","pedunculiflora","ei","lb",2021-01-01,NA
"puw","PuW","Purpurweide / Bachweide",417,"salix","purpurea","slb","lb",2021-01-01,NA
"maw","MaW","Mandelweide",418,"salix","triandra","slb","lb",2021-01-01,NA
"kow","KoW","Korb-Weide / Hanf-Weide",419,"salix","viminalis","slb","lb",2021-01-01,NA
"ömb","ÖMb","Ostalpen-Mehlbeere, Alpen-Mehlbeere und Alpen-Oxelbirne",420,"sorbus","austriaca","vb","lb",2021-01-01,NA
"sot","SoT","Sommertamariske",421,"tamarix","ramosissima","slb","lb",2021-01-01,NA
"esz","ESZ","Echte Sumpfzypresse",422,"taxodium","distichum","slb","lb",2021-01-01,NA
"sil","SiL","Silber-Linde",423,"tilia","tomentosa","li","lb",2021-01-01,NA
"hlt","HLT","Kanadische Hemlocktanne / Kanadische Schierlingstanne",424,"tsuga","canadensis","snb","nb",2021-01-01,NA
"fue","FUE","Flatterulme / Flatterrüster",425,"ulmus","laevis","ul","lb",2021-01-01,2021-01-01
"feu","FeU","Feldulme / Iper",426,"ulmus","minor","ul","lb",2021-01-01,NA
