"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","DBH_cm","CCS_r_m","rem_reason","dist_m","X_tree","Y_tree","e_ID","e_type","e_form","stand","inter_stat","area_m2","stand_plot_A_ha","plot_A_ha","old_tree_inventory_status","old_tree_ID"
10013,6,-9,0,2505,352,140,5,"sei",1,1,231,45,1005,150,2012,"HBI",39,117,"SEi","Stiel-Eiche","Quercus robur ","Quercus","robur ","036.004.014","LB",51,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","100,6","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023,20,-9,0,1832,48,180,5,"sei",0,3,293,136,936,130,2012,"HBI",39,117,"SEi","Stiel-Eiche","Quercus robur ","Quercus","robur ","036.004.014","LB",51,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","93,6","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,6,-9,0,1797,341,82,1,"wta",1,1,371,203,846,150,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","84,7","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,31,-9,0,2082,271,82,1,"dgl",1,1,370,150,1018,130,2012,"HBI",86,212,"Dgl","Douglasie","Pseudotsuga menziestii","Pseudotsuga","menziestii","026.002.001","NB",136,30012,"DGL","WAHR","Pseudotsuga menziesii",8,"dgl","fi","fi","FI","FI","aNB","FI","101,8","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10042,8,-9,0,2011,46,104,1,"wta",1,1,362,190,834,190,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","83,7","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10042,12,-9,0,2246,154,104,1,"wta",1,1,362,195,880,160,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","88,15","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30081,4,-9,0,1865,278,174,1,"rbu",0,3,279,104,761,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","76,1","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30188,29,-9,0,2144,109,180,5,"sei",1,1,237,34,997,130,2011,"HBI",39,117,"SEi","Stiel-Eiche","Quercus robur ","Quercus","robur ","036.004.014","LB",51,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","99,7","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30192,1,-9,0,1811,370,184,1,"rbu",1,1,335,88,812,170,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","81,4","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50006,32,-9,0,2043,252,58,6,"pa",1,1,387,147,919,130,2011,"HBI",11,114,"Pa","Pappel","Populus spp.","Populus","spp.","031.002.999.DL","LB",211,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","91,9","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
